record_id,doi,source_db,title,affiliations_raw,reprint_address
OpenAlex:W2087703017,10.1001/archpedi.159.7.692,OpenAlex,Herb-Drug Interaction Implications in Pediatric Practice: An Overview of Pharmacokinetic Trials,,
PubMed:39676264,10.1002/2211-5463.13952,PubMed,Synergistic antibacterial activity of baicalin in combination with oxacillin sodium against methicillin-resistant Staphylococcus aureus.,,
PubMed:39950759,10.1002/advs.202417022,PubMed,Honokiol-Magnolol-Baicalin Possesses Synergistic Anticancer Potential and Enhances the Efficacy of Anti-PD-1 Immunotherapy in Colorectal Cancer by Triggering GSDME-Dependent Pyroptosis.,,
PubMed:40832701,10.1002/advs.202503889,PubMed,Synergistic Modulation of Microglial Polarization by Acteoside and Ferulic Acid via Dual Targeting of Nrf2 and RORγt to Alleviate Depression-Associated Neuroinflammation.,,
PubMed:23027546,10.1002/bmc.2825,PubMed,"Enhancement by Glycyrrhizae Radix of hepatic metabolism of hypaconitine, a major bioactive and toxic component of Aconiti Laterlis Radix, evaluated by HPLC-TQ-MS/MS analysis.",,
PubMed:23893711,10.1002/bmc.2990,PubMed,A platform for fast screening potential anti-breast cancer compounds in traditional Chinese medicines.,,
PubMed:25611590,10.1002/bmc.3413,PubMed,In vitro and in vivo identification of metabolites of magnoflorine by LC LTQ-Orbitrap MS and its potential pharmacokinetic interaction in Coptidis Rhizoma decoction in rat.,,
PubMed:31743479,10.1002/bmc.4741,PubMed,Synergistic therapeutic effects of Duzhong Jiangya Tablets and amlodipine besylate combination in spontaneously hypertensive rats using <sup>1</sup> H-NMR- and MS-based metabolomics.,,
PubMed:34388856,10.1002/bmc.5227,PubMed,Effect of catechin and commercial preparation of green tea essence on the pharmacokinetics of l-dopa in rabbits.,,
OpenAlex:W2601936614,10.1002/cncy.21846,OpenAlex,A scientific skirmish over supplements,,
PubMed:34339076,10.1002/jbt.22869,PubMed,Polydatin gold nanoparticles potentiate antitumor effect of doxorubicin in Ehrlich ascites carcinoma-bearing mice.,,
PubMed:40165507,10.1002/jbt.70186,PubMed,Polyphyllin VII Enhances the Antitumor Activity of Cisplatin in Non-Small Cell Lung Cancer Cells by Inducing Ferroptosis and Enhancing Apoptosis.,,
PubMed:39435522,10.1002/jsfa.13972,PubMed,The synergistic immunomodulatory activity of Lycium barbarum glycopeptide and isochlorogenic acid A on RAW264.7 cells.,,
PubMed:23757179,10.1002/jssc.201300474,PubMed,Screening of aromatase inhibitors in traditional Chinese medicines by electrophoretically mediated microanalysis in a partially filled capillary.,,
PubMed:18570244,10.1002/ptr.2472,PubMed,Synergistic antitumor effects of liposomal honokiol combined with adriamycin in breast cancer models.,,
PubMed:23554049,10.1002/ptr.4984,PubMed,Furanodiene presents synergistic anti-proliferative activity with paclitaxel via altering cell cycle and integrin signaling in 95-D lung cancer cells.,,
PubMed:23913598,10.1002/ptr.5032,PubMed,Potentiating therapeutic effects by enhancing synergism based on active constituents from traditional medicine.,,
PubMed:27476488,10.1002/ptr.5687,PubMed,Synergistic Effect of SH003 and Doxorubicin in Triple-negative Breast Cancer.,,
PubMed:38729776,10.1002/ptr.8233,PubMed,The combination of berberine and isoliquiritigenin synergistically improved adipose inflammation and obesity-induced insulin resistance.,,
PubMed:26494474,10.1002/tox.22208,PubMed,Dithiothreitol enhanced arsenic-trioxide-induced cell apoptosis in cultured oral cancer cells via mitochondrial dysfunction and endoplasmic reticulum stress.,,
