journal,if_2024,jcr_quartile,category,notes
JOURNAL OF ETHNOPHARMACOLOGY,4.8,Q1,INTEGRATIVE & COMPLEMENTARY MEDICINE,
FRONTIERS IN PHARMACOLOGY,4.4,Q1,PHARMACOLOGY & PHARMACY,
PHYTOMEDICINE,6.7,Q1,PHARMACOLOGY & PHARMACY,
EVIDENCE-BASED COMPLEMENTARY AND ALTERNATIVE MEDICINE,,,,Discontinued in 2023
JOURNAL OF PHARMACEUTICAL AND BIOMEDICAL ANALYSIS,3.1,Q2,"CHEMISTRY, ANALYTICAL",
BIOMEDICAL CHROMATOGRAPHY,1.8,Q4,"CHEMISTRY, ANALYTICAL",
PHYTOTHERAPY RESEARCH,6.1,Q1,"CHEMISTRY, MEDICINAL",
PLANTA MEDICA,2.1,Q2,INTEGRATIVE & COMPLEMENTARY MEDICINE,
CURRENT DRUG METABOLISM,2.1,Q3,PHARMACOLOGY & PHARMACY,
MOLECULES,4.2,Q2,"CHEMISTRY, MULTIDISCIPLINARY",
JOURNAL OF CHROMATOGRAPHY B: ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES,2.8,Q2,"CHEMISTRY, ANALYTICAL",
XENOBIOTICA,1.3,Q4,TOXICOLOGY,
DRUG METABOLISM AND DISPOSITION,4.4,Q1,PHARMACOLOGY & PHARMACY,
PHARMACEUTICAL BIOLOGY,3.9,Q1,PHARMACOLOGY & PHARMACY,
BMC COMPLEMENTARY AND ALTERNATIVE MEDICINE,3.3,Q1,INTEGRATIVE & COMPLEMENTARY MEDICINE,Renamed to BMC Complementary Medicine and Therapies in 2020
FITOTERAPIA,2.5,Q3,PHARMACOLOGY & PHARMACY,
PLOS ONE,2.9,Q3,MULTIDISCIPLINARY SCIENCES,
JOURNAL OF SEPARATION SCIENCE,2.8,Q2,"CHEMISTRY, ANALYTICAL",
INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,4.9,Q1,"CHEMISTRY, MULTIDISCIPLINARY",
LATIN AMERICAN JOURNAL OF PHARMACY,,,PHARMACOLOGY & PHARMACY,Suspected predatory journal - very low IF
CHINESE JOURNAL OF NATURAL MEDICINES,4.0,Q1,INTEGRATIVE & COMPLEMENTARY MEDICINE,
EUROPEAN JOURNAL OF DRUG METABOLISM AND PHARMACOKINETICS,1.9,Q3,PHARMACOLOGY & PHARMACY,
JOURNAL OF PHARMACY AND PHARMACOLOGY,2.8,Q2,PHARMACOLOGY & PHARMACY,
SCIENTIFIC REPORTS,3.8,Q1,MULTIDISCIPLINARY SCIENCES,
BIOMEDICINE AND PHARMACOTHERAPY,6.9,Q1,PHARMACOLOGY & PHARMACY,
FOOD AND CHEMICAL TOXICOLOGY,3.9,Q2,FOOD SCIENCE & TECHNOLOGY,
CHEMICO-BIOLOGICAL INTERACTIONS,4.7,Q1,BIOCHEMISTRY & MOLECULAR BIOLOGY,
CHINESE JOURNAL OF INTEGRATIVE MEDICINE,2.2,Q2,INTEGRATIVE & COMPLEMENTARY MEDICINE,
CHINESE MEDICINE,5.3,Q1,INTEGRATIVE & COMPLEMENTARY MEDICINE,
PHARMACOLOGICAL RESEARCH - MODERN CHINESE MEDICINE,,,,新期刊，暂无分区信息
