normalized,author_keywords,keywords_plus,mesh_terms,total
pharmacokinetics,883,319,3,1205
herb-drug interactions,315,189,347,851
humans,4,18,718,740
metabolism,186,404,0,590
animals,1,1,538,540
traditional chinese medicine,405,132,0,537
herb-drug interaction,490,23,0,513
in-vitro,0,483,0,483
drug synergism,2,0,472,474
"drugs, chinese herbal",3,0,467,470
p-glycoprotein,184,286,0,470
inhibition,78,365,0,443
network pharmacology,354,13,20,387
male,1,0,347,348
apoptosis,100,107,118,325
rats,33,116,175,324
expression,4,312,0,316
herbal medicine,244,40,24,308
cytochrome p450,302,1,0,303
drug interactions,149,54,98,301
mice,12,58,228,298
female,2,0,254,256
st-johns-wort,0,250,0,250
extract,8,228,0,236
plant extracts,21,0,206,227
phytotherapy,57,4,165,226
bioavailability,110,111,0,221
cancer,136,84,0,220
oxidative stress,80,115,22,217
interaction,194,21,0,215
molecular docking,191,8,0,199
toxicity,120,71,0,191
induction,38,148,0,186
cyp3a4,100,86,0,186
liver,32,83,71,186
drug-interactions,4,180,0,184
interactions,150,33,0,183
medicine,77,106,0,183
flavonoids,72,81,26,179
alternative medicine,46,132,0,178
"cell line, tumor",0,0,173,173
inflammation,93,67,10,170
dietary supplements,95,0,68,163
identification,13,149,0,162
warfarin,94,49,19,162
cytochrome-p450,0,161,0,161
pharmacology,116,37,1,154
enzymes,11,137,5,153
metabolomics,120,15,12,147
mechanism,68,77,0,145
drug interaction,133,11,0,144
complementary,14,128,0,142
cells,2,138,0,140
drug,58,80,0,138
metabolites,102,36,0,138
herb-drug,118,18,0,136
herbal medicines,87,49,0,136
pharmacokinetic,128,6,0,134
hepatotoxicity,92,40,0,132
drug-drug interaction,111,20,0,131
pharmacodynamics,94,35,0,129
safety,77,45,7,129
rat,45,79,0,124
mechanisms,29,94,0,123
absorption,57,64,1,122
antioxidant,55,64,0,119
cell proliferation,1,0,117,118
berberine,66,29,22,117
drug-drug interactions,57,60,0,117
plasma,20,96,0,116
"rats, sprague-dawley",0,0,115,115
"medicine, chinese traditional",7,0,106,113
chemotherapy,73,38,0,111
antineoplastic agents,6,1,102,109
"dose-response relationship, drug",0,0,101,101
acid,4,96,0,100
uplc-ms/ms,91,8,0,99
alkaloids,30,43,26,99
chinese medicine,69,29,0,98
signal transduction,0,0,98,98
multidrug-resistance,2,95,0,97
activation,1,94,0,95
lc-ms/ms,86,9,0,95
in-vivo,0,94,0,94
"plants, medicinal",3,0,91,94
plant preparations,2,0,92,94
curcumin,46,29,15,90
rat plasma,37,52,0,89
transporters,31,57,0,88
therapy,15,71,0,86
depression,52,24,10,86
quercetin,42,35,8,85
cytochrome p-450 enzyme system,7,0,78,85
medicines,6,77,0,83
medicinal plants,81,0,0,81
double-blind,0,81,0,81
complementary and alternative medicine,80,0,0,80
grapefruit juice,6,72,0,78
glucuronidation,18,60,0,78
efficacy,24,53,0,77
"disease models, animal",0,0,77,77
diabetes,77,0,0,77
constituents,4,72,0,76
p-gp,63,13,0,76
gut microbiota,63,12,0,75
prevalence,14,59,2,75
natural products,74,0,0,74
performance liquid-chromatography,0,74,0,74
ginkgo-biloba extract,0,74,0,74
drugs,25,49,0,74
"mice, inbred balb c",0,0,74,74
ginkgo-biloba,0,73,0,73
adult,1,0,72,73
licorice,42,29,0,71
tissue distribution,43,18,9,70
herbs,54,16,0,70
transport,17,52,0,69
complementary medicine,58,11,0,69
traditional medicine,59,8,0,67
disease,9,56,0,65
anti-inflammatory,65,0,0,65
resistance,19,46,0,65
ginsenosides,29,22,13,64
cisplatin,22,6,36,64
cytochrome-p450 enzymes,0,64,0,64
ginseng,40,24,0,64
middle aged,0,0,64,64
dietary-supplements,0,63,0,63
herbal,48,14,0,62
antineoplastic combined chemotherapy protocols,0,0,62,62
"mice, nude",0,0,62,62
phytochemicals,53,4,4,61
cytochrome p-450 cyp3a,3,0,57,60
xenograft model antitumor assays,0,0,60,60
mass-spectrometry,0,60,0,60
cyp450,59,1,0,60
cell survival,0,0,60,60
antioxidants,23,4,33,60
injury,6,53,0,59
gene-expression,0,59,0,59
ginkgo biloba,32,0,27,59
extracts,6,52,0,58
cyp1a2,40,18,0,58
pregnane x receptor,32,21,5,58
united-states,0,58,0,58
hypertension,35,16,6,57
nf-kappa-b,0,57,0,57
multidrug resistance,57,0,0,57
pathway,13,44,0,57
human liver-microsomes,0,57,0,57
chinese herbal medicine,46,11,0,57
cyp2d6,39,18,0,57
green tea,26,30,0,56
intestinal absorption,38,0,18,56
phytochemistry,49,7,0,56
"drug therapy, combination",0,0,56,56
drug-herb interaction,54,0,0,54
inhibitors,8,46,0,54
hypericum-perforatum,0,54,0,54
complementary therapies,26,2,25,53
milk thistle,8,45,0,53
hypericum,9,0,43,52
transporter,33,19,0,52
liver-microsomes,0,52,0,52
components,5,47,0,52
panax-ginseng,0,52,0,52
aged,4,0,48,52
covid-19,48,1,2,51
"antineoplastic agents, phytogenic",0,0,51,51
liquid-chromatography,0,51,0,51
drug-metabolism,0,51,0,51
metabolite,39,12,0,51
metformin,36,9,5,50
salvia miltiorrhiza,24,0,26,50
neoplasms,5,0,45,50
cyp3a,42,8,0,50
permeability,18,28,3,49
risk,5,41,3,49
microsomes,18,27,4,49
products,8,41,0,49
pharmacokinetic interaction,33,16,0,49
"administration, oral",0,0,49,49
supplements,16,33,0,49
receptor,5,44,0,49
"rats, wistar",0,0,49,49
model,2,46,0,48
midazolam,22,11,15,48
human liver microsomes,47,0,0,47
saponins,7,15,25,47
prediction,2,45,0,47
doxorubicin,22,9,16,47
tacrolimus,29,15,3,47
garlic,32,2,12,46
cocktail,26,20,0,46
"chromatography, high pressure liquid",0,0,46,46
docking,32,14,0,46
human,7,39,0,46
breast cancer,46,0,0,46
paclitaxel,25,8,13,46
stress,15,31,0,46
polyphenols,26,12,7,45
baicalin,32,13,0,45
herb,32,13,0,45
drug metabolism,45,0,0,45
disposition,11,33,0,44
atherosclerosis,37,4,3,44
cholesterol,12,12,20,44
rheumatoid arthritis,43,0,0,43
vivo,0,43,0,43
autophagy,18,12,13,43
caffeine,19,17,7,43
pharmacovigilance,38,3,2,43
caco-2 cells,17,10,16,43
lignans,7,13,23,43
protein,2,40,0,42
danshen,28,14,0,42
salvia-miltiorrhiza,0,42,0,42
pregnane-x-receptor,0,42,0,42
cytotoxicity,25,17,0,42
hplc,35,7,0,42
paeoniflorin,32,10,0,42
biotransformation,16,12,14,42
reactive oxygen species,15,0,26,41
anticoagulants,17,2,22,41
cyp2c9,23,18,0,41
brain,3,24,14,41
alzheimer's disease,41,0,0,41
excretion,23,17,0,40
cyp,36,4,0,40
nanoparticles,16,19,5,40
molecular docking simulation,2,0,38,40
care,2,38,0,40
drug resistance,37,0,3,40
anti-bacterial agents,0,0,40,40
pxr,18,21,0,39
clopidogrel,27,10,2,39
hyperuricemia,32,6,1,39
cell line,0,1,38,39
combination,12,27,0,39
diabetes mellitus,38,0,1,39
cardiovascular diseases,30,0,9,39
pregnancy,15,5,19,39
"rna, messenger",0,0,39,39
cyclosporine,12,20,7,39
breast-cancer,0,39,0,39
review,38,0,0,38
lc-ms,37,1,0,38
"atp binding cassette transporter, subfamily b, member 1",1,0,37,38
drug discovery,18,11,9,38
mass spectrometry,29,1,8,38
integrative medicine,33,5,0,38
growth,2,36,0,38
plants,12,24,2,38
hepatocytes,9,19,10,38
"cells, cultured",0,0,38,38
st. john's wort,38,0,0,38
tandem mass-spectrometry,0,37,0,37
polypharmacy,25,8,4,37
traditional,31,6,0,37
obesity,21,14,2,37
"mice, inbred c57bl",0,0,37,37
transcriptome,27,3,7,37
p450,17,20,0,37
ulcerative colitis,37,0,0,37
treatment outcome,2,0,34,36
therapies,1,35,0,36
"microsomes, liver",0,0,36,36
area under curve,0,0,36,36
lung neoplasms,0,0,36,36
human liver,6,30,0,36
tanshinone iia,22,14,0,36
traditional chinese,26,10,0,36
