raw_string,old_ror_name,new_ror_name,reason,chosen_score
"School of Pharmacy, Second Military Medical University, Shanghai, 200433, China",Second Military Medical University,Naval Medical University,rule_match_disagree,1.0
"Second Mil Med Univ, Changzheng Hosp, Dept Pharm, Shanghai 200003, Peoples R China",Shanghai University,Naval Medical University,rule_match_disagree,0.75
"Chinese Acad Sci, Shanghai Inst Mat Med, State key Lab Drug Res, Shanghai 201203, Peoples R China",State Key Laboratory of Drug Research,Shanghai Institute of Materia Medica,rule_match_disagree,0.88
"Univ Chinese Acad Sci, Beijing 100049, Peoples R China",Changchun University of Chinese Medicine,University of Chinese Academy of Sciences,rule_match_disagree,0.72
"School of Pharmacy, Second Military Medical University, Shanghai, China",Second Military Medical University,Naval Medical University,rule_match_disagree,1.0
"Shanghai Univ Tradit Chinese Med, Inst Interdisciplinary Integrat Med Res, Shanghai 201203, Peoples R China",Shanghai University,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,1.0
"Shanghai Univ Tradit Chinese Med, Shanghai 201203, Peoples R China",Shanghai University,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,0.75
"Guangzhou Univ Chinese Med, Int Inst Translat Chinese Med, Guangzhou 510006, Guangdong, Peoples R China",Guangzhou University,Guangzhou University of Chinese Medicine,rule_match_disagree,1.0
"Shanghai Univ Tradit Chinese Med, Inst Interdisciplinary Med, Shanghai 201203, Peoples R China",Shanghai University,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,1.0
"Shanghai Univ Tradit Chinese Med, Inst Interdisciplinary Integrat Med Res, Shanghai, Peoples R China",Shanghai University,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,1.0
"Shanghai Univ Tradit Chinese Med, Sch Pharm, Dept Pharmacol, Shanghai 201203, Peoples R China",Shanghai University,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,0.75
"LongHua Hospital, Shanghai University of Traditional Chinese Medicine, Shanghai, 200032, China",Shanghai University,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,1.0
"Univ Chinese Acad Sci, Beijing, Peoples R China",Changchun University of Chinese Medicine,University of Chinese Academy of Sciences,rule_match_disagree,0.72
"Chinese Acad Sci, Shanghai Inst Mat Med, State Key Lab Drug Res, Shanghai, Peoples R China",State Key Laboratory of Drug Research,Shanghai Institute of Materia Medica,rule_match_disagree,0.88
"School of Pharmacy, Shanghai University of Traditional Chinese Medicine, Shanghai, China",Shanghai University,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,1.0
"Institute of Liver Diseases, Shuguang Hospital Affiliated to Shanghai University of Traditional Chinese Medicine, Shanghai, China",Second Affiliated Hospital of Hunan University of Traditional Chinese Medicine,Shanghai University of Traditional Chinese Medicine,rule_match_disagree,0.83
"Jilin Ginseng Academy, Changchun University of Chinese Medicine, Changchun, China",Changchun University,Changchun University of Chinese Medicine,rule_match_disagree,1.0
"Second Mil Med Univ, Sch Pharm, Shanghai 200433, Peoples R China",Shanghai University,Naval Medical University,rule_match_disagree,0.75
"Guangzhou Univ Chinese Med, Inst Clin Pharmacol, Guangzhou 510405, Guangdong, Peoples R China",Guangzhou University,Guangzhou University of Chinese Medicine,rule_match_disagree,1.0
