doi,n_records_merged,source_dbs,chosen_db,chosen_record_id,year,title_first50
10.1001/archinte.165.10.1095,3,OpenAlex;Scopus;WoS,WoS,WoS:WOS:000229326700002,2005,Systematic overview of warfarin and its drug and f
10.1001/archinte.166.18.1968,1,WoS,WoS,WoS:WOS:000241057300005,2006,Factors associated with dietary supplement use amo
10.1001/archinte.167.9.966,1,WoS,WoS,WoS:WOS:000246454300016,2007,Physicians' understanding of the regulation of die
10.1001/archpedi.159.7.692,1,OpenAlex,OpenAlex,OpenAlex:W2087703017,2005,Herb-Drug Interaction Implications in Pediatric Pr
10.1001/jamanetworkopen.2024.62195,1,Scopus,Scopus,Scopus:2-s2.0-86000244465,2025,A Berberine Derivative for Treatment of Type 2 Dia
10.1002/14651858.cd000978.pub3,1,Scopus,Scopus,Scopus:2-s2.0-37249022122,2007,Interventions for preventing oral mucositis for pa
10.1002/2211-5463.13952,1,PubMed,PubMed,PubMed:39676264,2025,Synergistic antibacterial activity of baicalin in 
10.1002/acg2.94,1,OpenAlex,OpenAlex,OpenAlex:W3032388100,2020,COVID‐19 &amp; allogeneic transplant: Activity and
10.1002/adfm.202417810,2,Scopus;WoS,WoS,WoS:WOS:001394168300001,2025,Nature Herbal Medicine- Tissue Engineering Strateg
10.1002/adhm.202300639,1,Scopus,Scopus,Scopus:2-s2.0-85153330555,2023,Lipid-Based Nanocarriers Enabled Oral Delivery of 
10.1002/adhm.202404908,1,Scopus,Scopus,Scopus:2-s2.0-105009302623,2025,Colon-Targeted Natural Polysaccharide-Berberine Ar
10.1002/advs.202405850,1,Scopus,Scopus,Scopus:2-s2.0-105001594669,2025,Lycium barbarum Glycopeptide Alleviates Neomycin-I
10.1002/advs.202409107,3,PubMed;Scopus;WoS,WoS,WoS:WOS:001430425800001,2025,"Geniposidic Acid Targeting FXR ""S332 and H447"" Med"
10.1002/advs.202417022,1,PubMed,PubMed,PubMed:39950759,2025,Honokiol-Magnolol-Baicalin Possesses Synergistic A
10.1002/advs.202503889,1,PubMed,PubMed,PubMed:40832701,2025,Synergistic Modulation of Microglial Polarization 
10.1002/aisy.202500060,1,Scopus,Scopus,Scopus:2-s2.0-105005109288,2025,Hierarchical Superposition Framework Reveals the C
10.1002/ajmg.a.35750,1,OpenAlex,OpenAlex,OpenAlex:W2011109614,2013,Book Review Genomics and Health in the Developing 
10.1002/ame2.12550,1,Scopus,Scopus,Scopus:2-s2.0-85216572010,2025,Pharmacokinetic analysis on compatibility of Atrac
10.1002/ange.201402000,1,OpenAlex,OpenAlex,OpenAlex:W4247112151,2014,Substrate Profiling of Glutathione S‐transferase w
10.1002/anie.201402000,4,OpenAlex;PubMed;Scopus;WoS,WoS,WoS:WOS:000338989500004,2014,Substrate Profiling of Glutathione S-transferase w
10.1002/ar.24710,2,Scopus;WoS,WoS,WoS:WOS:000678782700001,2021,Treatment effect and mechanism of Fu's subcutaneou
10.1002/ar.24822,1,Scopus,Scopus,Scopus:2-s2.0-85119414641,2022,Modified Xiaoqinglong decoction alleviates lipopol
10.1002/ardp.201800222,1,Scopus,Scopus,Scopus:2-s2.0-85060337683,2019,Ursolic acid: Pharmacokinetics process in vitro an
10.1002/ardp.202400053,3,PubMed;Scopus;WoS,WoS,WoS:WOS:001240392000001,2024,Review on the pharmacological effects and pharmaco
10.1002/ardp.202400564,2,Scopus;WoS,WoS,WoS:WOS:001365248800001,2025,Identification of potentially causative drugs asso
10.1002/ardp.202400575,4,OpenAlex;PubMed;Scopus;WoS,WoS,WoS:WOS:001354121100001,2025,"Pre-ADMET studies of 5-(3′,4′-dihydroxyphenyl)-γ-v"
10.1002/ardp.70064,1,Scopus,Scopus,Scopus:2-s2.0-105011937609,2025,Structure-Driven Mechanisms and Synergistic Approa
10.1002/bab.1934,1,Scopus,Scopus,Scopus:2-s2.0-85084859646,2021,Protection against peripheral artery disease injur
10.1002/bdd.1775,1,Scopus,Scopus,Scopus:2-s2.0-84862830227,2012,Metabolism and excretion studies of oral administe
10.1002/bdd.1905,1,Scopus,Scopus,Scopus:2-s2.0-84908455890,2014,Effects of licochalcone A on the bioavailability a
10.1002/bdd.1918,4,OpenAlex;PubMed;Scopus;WoS,WoS,WoS:WOS:000348733000005,2015,Effect of scutellarin on the metabolism and pharma
10.1002/bdd.2050,2,PubMed;Scopus,Scopus,Scopus:2-s2.0-85010483455,2017,Inhibition of glucuronidation and oxidative metabo
10.1002/bdd.2053,3,PubMed;Scopus;WoS,WoS,WoS:WOS:000393618300005,2017,The absorption enhancement of norisoboldine in the
10.1002/bdd.2121,3,PubMed;Scopus;WoS,WoS,WoS:WOS:000427466700003,2018,Bioactivity guided fractionation of methanolic ext
10.1002/bdd.2202,2,PubMed;Scopus,Scopus,Scopus:2-s2.0-85072904550,2019,Black tea extract and theaflavin derivatives affec
10.1002/bdd.2211,3,PubMed;Scopus;WoS,WoS,WoS:WOS:000503763300001,2020,Exploring the compatibility mechanism of ShengDiHu
10.1002/bdd.2230,4,OpenAlex;PubMed;Scopus;WoS,WoS,WoS:WOS:000534585000001,2020,Deoxyshikonin reversibly inhibits cytochrome P450 
10.1002/bdd.2246,4,OpenAlex;PubMed;Scopus;WoS,WoS,WoS:WOS:000550224700001,2020,Characterization of red ginseng-drug interaction b
10.1002/bdd.2300,4,OpenAlex;PubMed;Scopus;WoS,WoS,WoS:WOS:000684825700001,2021,Effect of Nigella sativa oil on pharmacokinetics a
10.1002/bdd.2312,2,PubMed;Scopus,Scopus,Scopus:2-s2.0-85136614946,2022,Effect of hepar-protecting Wuzhi capsule on pharma
10.1002/bdd.2370,4,OpenAlex;PubMed;Scopus;WoS,WoS,WoS:WOS:001024544200001,2023,Selective inhibitory effects of suberosin on CYP1A
10.1002/bdd.2374,3,PubMed;Scopus;WoS,WoS,WoS:WOS:001050261900001,2023,Influence of Gegenqinlian decoction on pharmacokin
10.1002/bdd.579,1,Scopus,Scopus,Scopus:2-s2.0-38849086668,2007,Inhibitory effects of various beverages on human r
10.1002/bdd.674,2,Scopus;WoS,WoS,WoS:WOS:000271082600006,2009,Influence of Coptis Chinensis on Pharmacokinetics 
10.1002/bdd.70007,1,Scopus,Scopus,Scopus:2-s2.0-105004352646,2025,Influences of Magnesium Isoglycyrrhizinate on the 
10.1002/bdd.70009,3,PubMed;Scopus;WoS,WoS,WoS:WOS:001541199700001,2025,Effect of Curcuminoids on Pharmacokinetics and Pha
10.1002/bdd.70012,4,OpenAlex;PubMed;Scopus;WoS,WoS,WoS:WOS:001550521900001,2025,The Effect of α-Mangostin on the Pharmacokinetic P
10.1002/bdd.771,2,PubMed;Scopus,Scopus,Scopus:2-s2.0-80054884803,2011,Pharmacological effects and pharmacokinetics prope
10.1002/bdd.775,3,PubMed;Scopus;WoS,WoS,WoS:WOS:000297329800003,2011,Potential pharmacokinetic interactions between ant
10.1002/bdrc.21050,1,Scopus,Scopus,Scopus:2-s2.0-84890360246,2013,"Pregnancy outcomes, embryonic and fetal developmen"
10.1002/bio.4065,4,OpenAlex;PubMed;Scopus;WoS,WoS,WoS:WOS:000656798900001,2021,"Interaction study of astilbin, isoastilbin and neo"
10.1002/biof.1290,2,PubMed;Scopus,Scopus,Scopus:2-s2.0-84966350562,2016,Pharmacokinetics of mangiferin and its metabolite—
10.1002/biof.1308,1,Scopus,Scopus,Scopus:2-s2.0-84988892936,2016,Mangiferin: A review of sources and interventions 
10.1002/bkcs.11479,3,OpenAlex;Scopus;WoS,WoS,WoS:WOS:000434351200016,2018,Selective Inhibitory Effect of Osthenol on Human C
10.1002/bmc.1002,4,OpenAlex;PubMed;Scopus;WoS,WoS,WoS:WOS:000258541700005,2008,Effect of Da-Cheng-Qi decoction on the pharmacokin
10.1002/bmc.1257,1,Scopus,Scopus,Scopus:2-s2.0-71649115384,2009,"An LC-MS/MS method for determination of 3,6′-disin"
10.1002/bmc.1258,1,Scopus,Scopus,Scopus:2-s2.0-71649087595,2009,Analysis of the constituents in rat plasma after o
10.1002/bmc.1315,1,Scopus,Scopus,Scopus:2-s2.0-77951763374,2010,Identification of the major chemical constituents 
10.1002/bmc.1568,1,Scopus,Scopus,Scopus:2-s2.0-78650660164,2011,Biological analysis of herbal medicines used for t
10.1002/bmc.1739,4,OpenAlex;PubMed;Scopus;WoS,WoS,WoS:WOS:000304989300010,2012,Simultaneous in vivo RP-HPLC-DAD quantification of
10.1002/bmc.2825,1,PubMed,PubMed,PubMed:23027546,2013,Enhancement by Glycyrrhizae Radix of hepatic metab
10.1002/bmc.2851,1,Scopus,Scopus,Scopus:2-s2.0-84876346781,2013,Identification of metabolites in WZS-miniature pig
10.1002/bmc.2928,1,Scopus,Scopus,Scopus:2-s2.0-84881371101,2013,Identification of the absorptive constituents and 
10.1002/bmc.2930,3,PubMed;Scopus;WoS,WoS,WoS:WOS:000322717100019,2013,Influence of compound danshen tablet on the pharma
10.1002/bmc.2934,1,Scopus,Scopus,Scopus:2-s2.0-84885934266,2013,In vivo metabolism study of bergenin in rats by HP
10.1002/bmc.2942,1,Scopus,Scopus,Scopus:2-s2.0-84885946123,2013,Determination of protoapigenone in rat plasma by h
10.1002/bmc.2974,1,Scopus,Scopus,Scopus:2-s2.0-84887164491,2013,Simultaneous quantitative analyses of indole and o
10.1002/bmc.2976,1,Scopus,Scopus,Scopus:2-s2.0-84887172189,2013,Ultra-performance liquid-chromatography with tande
10.1002/bmc.2990,1,PubMed,PubMed,PubMed:23893711,2013,A platform for fast screening potential anti-breas
10.1002/bmc.2991,1,Scopus,Scopus,Scopus:2-s2.0-84887135193,2013,Identification of the metabolites of anti-inflamma
10.1002/bmc.3037,2,PubMed;Scopus,Scopus,Scopus:2-s2.0-84893784256,2014,The effectiveness of borneol on pharmacokinetics c
10.1002/bmc.3069,2,PubMed;Scopus,Scopus,Scopus:2-s2.0-84896542218,2014,"Absorption, metabolism and effect of compatibility"
10.1002/bmc.3102,1,Scopus,Scopus,Scopus:2-s2.0-84902547290,2014,Comparative pharmacokinetics studies of benzoylhyp
10.1002/bmc.3165,1,Scopus,Scopus,Scopus:2-s2.0-84905579223,2014,"The pharmacokinetic study of sinomenine, paeoniflo"
10.1002/bmc.3180,1,Scopus,Scopus,Scopus:2-s2.0-84908373264,2014,Development of determination of four analytes of Z
10.1002/bmc.3182,1,Scopus,Scopus,Scopus:2-s2.0-84908322713,2014,Comparative pharmacokinetic study of two boswellic
10.1002/bmc.3292,2,PubMed;Scopus,Scopus,Scopus:2-s2.0-84920944265,2015,Pharmacokinetic comparisons by UPLC-MS/MS of isome
10.1002/bmc.3293,1,Scopus,Scopus,Scopus:2-s2.0-84920983552,2015,Pharmacokinetic study of five ginsenosides using a
10.1002/bmc.3300,1,Scopus,Scopus,Scopus:2-s2.0-84925361111,2015,LC-MS/MS analysis of Gegen Qinlian Decoction and i
10.1002/bmc.3354,3,PubMed;Scopus;WoS,WoS,WoS:WOS:000353880000018,2015,Effects of American ginseng on pharmacokinetics of
10.1002/bmc.3387,1,Scopus,Scopus,Scopus:2-s2.0-84931831026,2015,Multi-analysis strategy for metabolism of Androgra
10.1002/bmc.3413,1,PubMed,PubMed,PubMed:25611590,2015,In vitro and in vivo identification of metabolites
10.1002/bmc.3420,1,Scopus,Scopus,Scopus:2-s2.0-84939257696,2015,Simultaneous determination of senkyunolide I and s
10.1002/bmc.3443,1,Scopus,Scopus,Scopus:2-s2.0-84939270020,2015,Identification of absorbed constituents and metabo
10.1002/bmc.3445,4,OpenAlex;PubMed;Scopus;WoS,WoS,WoS:WOS:000359861400023,2015,Development of a LC-MS/MS method for simultaneous 
