record_id,title,year,first_author_lastname,_matched_block,openalex_concepts
OpenAlex:W2087703017,Herb-Drug Interaction Implications in Pediatric Practice: An Overview of Pharmacokinetic Trials,2005,Johnston,B1_direct,"['Drug' 'Herb' 'Pharmacokinetics' 'Medicine' 'Clinical trial'
 'Traditional medicine' 'Pharmacology' 'Medicinal herbs'
 'Internal medicine']"
OpenAlex:W3032388100,COVID‐19 &amp; allogeneic transplant: Activity and preventive measures for best outcomes in China,2020,Xu,B2_tcm_interaction,"['Transplantation' 'Medicine' 'Pandemic' 'Intensive care medicine'
 'Outbreak' 'Isolation (microbiology)'
 'Hematopoietic stem cell transplantation' 'Disease' 'Immunology'
 'Coronavirus disease 2019 (COVID-19)' 'Virology' 'Internal medicine'
 'Infectious disease (medical specialty)' 'Biology' 'Bioinformatics']"
OpenAlex:W2011109614,"Book Review Genomics and Health in the Developing World. Edited by Prof. Dhavendra Kumar. ISBN13: 9780195374759, ISBN10: 0195374754.",2013,Zahir,B0_none,"['Scope (computer science)' 'Genomics' 'Poverty' 'Health care'
 'Developing country' 'Population' 'Political science' 'Library science'
 'Data science' 'Medicine' 'Economic growth' 'Computer science' 'Biology'
 'Genetics' 'Genome' 'Environmental health' 'Gene' 'Law' 'Economics'
 'Programming language']"
OpenAlex:W4247112151,Substrate Profiling of Glutathione S‐transferase with Engineered Enzymes and Matched Glutathione Analogues,2014,Feng,B3_tcm_cyp,"['Glutathione' 'Bioorthogonal chemistry' 'Chemistry' 'Biochemistry'
 'Cofactor' 'Enzyme' 'Glutathione S-transferase' 'Biotin'
 'Glutathione transferase' 'Substrate (aquarium)'
 'Combinatorial chemistry' 'Click chemistry' 'Biology' 'Ecology']"
OpenAlex:W2601936614,A scientific skirmish over supplements,2017,Nelson,B1_direct,"['Medicine' 'Traditional medicine' 'Breast cancer'
 'Food and drug administration' 'Herb' 'Ephedrine' 'Cancer'
 'Family medicine' 'Pharmacology' 'Internal medicine' 'Medicinal herbs']"
OpenAlex:W2194430852,Complementary and Alternative Medicine in Predoctoral Dental Curricula: An Exploratory Survey of U.S. Dental Schools,2013,Spector,B0_none,"['Curriculum' 'Medicine' 'Family medicine' 'Medical education'
 'Alternative medicine' 'Dental education' 'Exploratory research'
 'Psychology' 'Dentistry' 'Pedagogy' 'Sociology' 'Anthropology'
 'Pathology']"
OpenAlex:W4322769779,Noncirrhotic portal hypertension misdiagnosed as liver cirrhosis: A rare case,2023,Yang,B3_tcm_cyp,"['Portal hypertension' 'Cirrhosis' 'Medicine' 'Internal medicine'
 'Gastroenterology']"
OpenAlex:W2544294155,The hidden problem of herb‐drug interactions,2016,Greener,B0_none,"['Medicine' 'Herb' 'Medical prescription' 'Alternative medicine'
 'Health professionals' 'Traditional medicine' 'Drug' 'Medicinal herbs'
 'Health care' 'Pharmacology' 'Law' 'Political science' 'Pathology']"
OpenAlex:W4414202895,(3115) Proposal to conserve the name <i>Cinnamomum cassia</i> Nees ex Blume against <i>C. cassia</i> (L.) J. Presl/D. Don (<i>Lauraceae</i>),2025,Külkamp,B1_direct,"['Cinnamomum' 'Cassia' 'Barcode' 'Confusion' 'Botany' 'DNA barcoding'
 'Biology' 'Traditional medicine' 'Adulterant' 'Rubus'
 'Root (linguistics)' 'Correct name' 'Nomenclature']"
OpenAlex:W2337311408,Xiaoke Pill (消渴丸) and anti-diabetic drugs: A review on clinical evidence of possible herb-drug interactions,2016,Chan,B1_direct,"['Medicine' 'Pill' 'Adverse effect' 'Drug' 'MEDLINE'
 'Traditional Chinese medicine' 'CINAHL' 'Traditional medicine'
 'Cochrane Library' 'Alternative medicine' 'Pharmacology' 'Meta-analysis'
 'Intensive care medicine' 'Internal medicine' 'Psychiatry'
 'Psychological intervention' 'Pathology' 'Law' 'Political science']"
OpenAlex:W1156348479,Panax ginseng inhibits intestinal absorption of toxic Aconitum carmichaeli alkaloids in Vitro,2015,You,B0_none,"['Ginseng' 'Aconitine' 'Aconitum' 'Chemistry' 'Western blot'
 'Traditional medicine' 'Pharmacology' 'Biochemistry' 'Alkaloid' 'Biology'
 'Medicine' 'Chromatography' 'Stereochemistry' 'Pathology'
 'Alternative medicine' 'Gene']"
OpenAlex:W4231905269,Potential herb−drug interaction with goldenseal,2015,,B0_none,['Traditional medicine' 'Herb' 'Medicine' 'Medicinal herbs' 'Pharmacology']
OpenAlex:W3204335582,Dong Quai (Angelica sinensis),2021,Bokelmann,B0_none,"['Medicine' 'Angelica sinensis' 'Anemia' 'Genitourinary system'
 'Menstruation' 'Disease' 'Internal medicine'
 'Traditional Chinese medicine' 'Traditional medicine' 'Pathology'
 'Alternative medicine']"
