variant,canonical,variant_n,canonical_n,decision,note
herb-drug interactions,herb-drug interaction,851,513,MERGE,KNOWN
in-vitro,in vitro,483,28,MERGE,KNOWN
"drugs, chinese herbal",traditional chinese medicine,470,537,MERGE,KNOWN
herbal medicine,traditional chinese medicine,308,537,MERGE,KNOWN
drug interactions,drug interaction,301,144,MERGE,KNOWN
st-johns-wort,st johns wort,250,15,MERGE,KNOWN
plant extracts,plant extract,227,6,MERGE,KNOWN
drug-interactions,drug interaction,184,144,MERGE,KNOWN
interactions,interaction,183,215,MERGE,KNOWN
cytochrome-p450,cytochrome p450,161,303,MERGE,KNOWN
metabolites,metabolite,138,51,MERGE,KNOWN
herbal medicines,traditional chinese medicine,136,537,MERGE,KNOWN
pharmacokinetic,pharmacokinetics,134,1205,MERGE,KNOWN
mechanisms,mechanism,123,145,MERGE,KNOWN
drug-drug interactions,drug-drug interaction,117,131,MERGE,KNOWN
"medicine, chinese traditional",traditional chinese medicine,113,537,MERGE,KNOWN
chinese medicine,traditional chinese medicine,98,537,MERGE,KNOWN
multidrug-resistance,multidrug resistance,97,57,MERGE,KNOWN
in-vivo,in vivo,94,14,MERGE,KNOWN
"plants, medicinal",medicinal plants,94,81,MERGE,KNOWN
transporters,transporter,88,52,MERGE,KNOWN
medicines,medicine,83,183,MERGE,KNOWN
p-gp,p-glycoprotein,76,470,MERGE,KNOWN
drugs,drug,74,138,MERGE,KNOWN
dietary-supplements,dietary supplements,63,163,MERGE,KNOWN
antioxidants,antioxidant,60,119,MERGE,KNOWN
cyp450,cytochrome p450,60,303,MERGE,KNOWN
extracts,extract,58,236,MERGE,KNOWN
chinese herbal medicine,traditional chinese medicine,57,537,MERGE,KNOWN
human liver microsomes,human liver-microsomes,47,57,MERGE,fuzzy
herb,herbs,45,70,MERGE,fuzzy
drug metabolism,drug-metabolism,45,51,MERGE,fuzzy
cyp,cytochrome p450,40,303,MERGE,KNOWN
breast-cancer,breast cancer,39,46,MERGE,fuzzy
mass spectrometry,mass-spectrometry,38,60,MERGE,fuzzy
p450,cytochrome p450,37,303,MERGE,KNOWN
"microsomes, liver",liver-microsomes,36,52,MERGE,fuzzy
