"Paper         ","DOI","TC","TCperYear","NTC"
"ZHOU LM, 2005, J CLIN PHARMACOL","10.1177/0091270005282630",1198,54.4545454545455,9.79672897196262
"HOLBROOK AM, 2005, ARCH INTERN MED","10.1001/archinte.165.10.1095",848,38.5454545454545,6.93457943925234
"POTTERAT O, 2010, PLANTA MED","10.1055/s-0029-1186218",531,31.2352941176471,9.86490825688074
"GONG J, 2012, J CONTROL RELEASE","10.1016/j.jconrel.2011.12.012",497,33.1333333333333,11.0542704626335
"HU ZP, 2005, DRUGS","10.2165/00003495-200565090-00005",493,22.4090909090909,4.03154205607477
"CHEN SL, 2012, NAT COMMUN","10.1038/ncomms1923",480,32,10.6761565836299
"IZZO AA, 2016, PHYTOTHER RES","10.1002/ptr.5591",465,42.2727272727273,14.3152866242038
"KUMAR A, 2015, EUR J PHARMACOL","10.1016/j.ejphar.2015.05.068",435,36.25,16.0618532455315
"CHENG TO, 2007, INT J CARDIOL","10.1016/j.ijcard.2007.01.004",416,20.8,6.46379360891234
"NEHLIG A, 2018, PHARMACOL REV","10.1124/pr.117.014407",406,45.1111111111111,14.8983816334212
"GOHIL KJ, 2010, INDIAN J PHARM SCI","10.4103/0250-474X.78519",383,22.5294117647059,7.11536697247706
"LIN SR, 2020, BRIT J PHARMACOL","10.1111/bph.14816",345,49.2857142857143,15.0309562027058
"SHAITO A, 2020, FRONT PHARMACOL","10.3389/fphar.2020.00422",307,43.8571428571429,13.3753726209585
"TACHJIAN A, 2010, J AM COLL CARDIOL","10.1016/j.jacc.2009.07.074",292,17.1764705882353,5.42477064220184
"JOUBERT E, 2008, J ETHNOPHARMACOL","10.1016/j.jep.2008.06.014",275,14.4736842105263,5.59149722735675
"YANG Y, 2014, FITOTERAPIA","10.1016/j.fitote.2013.10.010",260,20,8.45301893533405
"CHAN PC, 2007, J ENVIRON SCI HEAL C","10.1080/10590500701569414",253,12.65,3.93110524772794
"WANG XY, 2013, J ETHNOPHARMACOL","10.1016/j.jep.2013.09.055",252,18,6.70358306188925
"EZURUIKE UF, 2014, J ETHNOPHARMACOL","10.1016/j.jep.2014.05.055",252,19.3846153846154,8.19292604501608
"ZHAO Q, 2016, SCI ADV","10.1126/sciadv.1501780",250,22.7272727272727,7.6963906581741
