"SO","Freq"
"JOURNAL OF ETHNOPHARMACOLOGY",264
"FRONTIERS IN PHARMACOLOGY",110
"EVIDENCE-BASED COMPLEMENTARY AND ALTERNATIVE MEDICINE",96
"PHYTOTHERAPY RESEARCH",78
"PHYTOMEDICINE",77
"MOLECULES",71
"XENOBIOTICA",60
"CURRENT DRUG METABOLISM",58
"LATIN AMERICAN JOURNAL OF PHARMACY",51
"DRUG METABOLISM AND DISPOSITION",48
"PLANTA MEDICA",46
"PHARMACEUTICAL BIOLOGY",44
"JOURNAL OF PHARMACEUTICAL AND BIOMEDICAL ANALYSIS",34
"FOOD AND CHEMICAL TOXICOLOGY",33
"BMC COMPLEMENTARY AND ALTERNATIVE MEDICINE",32
"CHEMICO-BIOLOGICAL INTERACTIONS",32
"BIOMEDICAL CHROMATOGRAPHY",27
"PLOS ONE",27
"INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES",26
"EUROPEAN JOURNAL OF DRUG METABOLISM AND PHARMACOKINETICS",25
