cluster_id,n_docs,pct_corpus,mean_probability,mean_outlier_score
0,131,1.39,0.716,0.284
1,51,0.54,0.995,0.005
2,227,2.41,0.9,0.192
3,108,1.15,0.846,0.154
4,172,1.83,0.612,0.388
5,90,0.96,0.856,0.144
6,220,2.34,0.655,0.345
7,56,0.59,0.99,0.01
8,58,0.62,0.978,0.022
9,63,0.67,0.891,0.109
10,82,0.87,0.886,0.114
11,730,7.76,0.92,0.149
12,99,1.05,0.887,0.113
13,97,1.03,0.867,0.133
14,255,2.71,0.673,0.327
15,75,0.8,0.966,0.034
16,58,0.62,0.988,0.012
17,331,3.52,0.898,0.138
18,54,0.57,1.0,0.0
19,77,0.82,0.986,0.014
20,126,1.34,0.905,0.095
21,59,0.63,0.992,0.008
22,124,1.32,0.984,0.016
23,100,1.06,0.742,0.258
24,151,1.6,0.572,0.428
25,156,1.66,0.818,0.182
26,204,2.17,0.656,0.344
27,192,2.04,0.877,0.123
28,139,1.48,0.939,0.061
29,61,0.65,0.988,0.012
30,512,5.44,0.87,0.154
31,111,1.18,0.972,0.028
32,74,0.79,0.952,0.048
33,103,1.09,0.967,0.033
34,260,2.76,0.731,0.269
35,127,1.35,0.918,0.082
36,60,0.64,1.0,0.0
37,147,1.56,0.934,0.066
38,236,2.51,1.0,0.211
-1,3437,36.51,0.0,0.048
