Day5_cluster,0,1,2,3
0,60,4,9,1
1,24,3,4,0
2,62,63,19,5
3,33,37,6,0
4,33,25,31,33
5,34,32,6,0
6,75,92,6,0
7,4,29,2,0
8,43,4,3,1
9,38,4,6,1
10,12,6,35,3
11,191,100,266,7
12,12,13,18,11
13,26,5,15,0
14,74,44,49,2
15,18,3,14,21
16,7,0,15,9
17,108,29,95,4
18,7,6,19,7
19,9,4,15,28
20,18,6,27,28
21,5,1,17,23
22,13,7,13,54
23,22,15,30,0
24,116,11,5,0
25,69,9,20,5
26,35,112,4,0
27,116,2,16,3
28,17,41,25,0
29,4,21,3,0
30,332,34,32,1
31,33,34,2,0
32,45,11,4,0
33,69,17,1,0
34,194,1,9,0
35,84,3,11,1
36,20,14,4,0
37,10,69,5,0
38,25,112,8,0
