year,n_publications,cumulative,pct_of_total,yoy_growth_pct,rolling_5yr_mean
2005,261,261,2.77,,
2006,262,523,2.78,0.4,
2007,300,823,3.19,14.5,282.8
2008,277,1100,2.94,-7.7,298.6
2009,314,1414,3.34,13.4,317.4
2010,340,1754,3.61,8.3,342.0
2011,356,2110,3.78,4.7,374.0
2012,423,2533,4.49,18.8,411.4
2013,437,2970,4.64,3.3,433.2
2014,501,3471,5.32,14.6,452.6
2015,449,3920,4.77,-10.4,456.6
2016,453,4373,4.81,0.9,462.6
2017,443,4816,4.71,-2.2,470.0
2018,467,5283,4.96,5.4,490.2
2019,538,5821,5.72,15.2,521.8
2020,550,6371,5.84,2.2,551.4
2021,611,6982,6.49,11.1,552.2
2022,591,7573,6.28,-3.3,571.0
2023,471,8044,5.0,-20.3,608.4
2024,632,8676,6.71,34.2,
2025,737,9413,7.83,16.6,
