country_a,country_b,co_publications
CN,US,257
CN,HK,129
CN,MO,92
CN,TW,81
AU,CN,58
CN,JP,49
CN,GB,41
GB,US,34
CA,US,32
IN,US,30
HK,US,27
GB,HK,24
CN,MN,24
CN,KR,23
PK,SA,22
IN,SA,22
CA,CN,21
US,ZA,21
AU,GB,20
IT,US,19
AU,US,19
CN,DE,19
CN,SG,18
HK,MO,17
TW,US,15
CN,PK,15
EG,SA,14
CH,DE,14
IL,US,13
GB,IT,13
KR,US,13
CN,SA,12
MO,US,12
SA,US,11
JP,TW,11
DE,US,10
ES,US,10
CN,FI,10
AU,HK,10
AU,SG,10
JO,US,9
CN,MY,9
ES,IT,9
NG,US,8
GB,SE,8
CN,NZ,8
EG,US,8
CN,IN,8
AU,DE,8
SG,US,8
IR,US,8
JP,US,8
IN,MY,8
DE,GB,8
CN,RU,7
RU,US,7
TH,US,7
AU,MO,7
US,ZW,7
CA,HK,7
CN,SE,6
CU,ES,6
CN,ES,6
JP,TH,6
IR,IT,6
GH,ZA,6
CN,PL,6
BR,GB,6
CN,TH,6
AU,NZ,6
CA,GB,6
GH,US,6
AE,EG,5
CN,NO,5
IT,RS,5
GB,KR,5
IN,IR,5
DE,EG,5
GB,SG,5
AU,IN,5
DE,PT,5
CA,NZ,5
NZ,US,5
IN,KR,5
DE,HK,5
GE,US,5
MY,SA,5
CL,IT,5
JO,SA,5
CH,US,5
ES,GB,5
MX,US,5
CH,GB,5
GB,ZA,4
FI,NG,4
GB,MO,4
AU,CA,4
NZ,SG,4
AE,PK,4
PK,US,4
AT,DE,4
AT,US,4
GB,TR,4
DE,NL,4
DE,IT,4
DE,SE,4
GR,PL,4
IT,PL,4
CN,IL,4
DE,TR,4
MY,PK,4
ID,MY,4
BR,CH,4
EG,IN,4
IN,TR,4
IT,JP,4
GB,MY,4
IN,JP,4
IN,PT,4
PL,US,4
CA,ZA,4
ES,PT,4
DE,ES,4
DE,JP,4
GB,IN,4
IT,PT,4
AE,IN,4
PT,US,4
