rank,institution,country,n_pub,n_first_author,first_author_pct,total_citations,avg_citations,n_intl_collab,intl_collab_pct
1,Shanghai University of Traditional Chinese Medicine,CN,244,163,66.8,5781,23.7,35,14.3
2,Nanjing University of Chinese Medicine,CN,215,134,62.3,4203,19.5,20,9.3
3,Beijing University of Chinese Medicine,CN,215,135,62.8,5854,27.2,24,11.2
4,Shenyang Pharmaceutical University,CN,183,109,59.6,4372,23.9,28,15.3
5,Tianjin University of Traditional Chinese Medicine,CN,175,104,59.4,4185,23.9,12,6.9
6,Chengdu University of Traditional Chinese Medicine,CN,152,92,60.5,5829,38.3,7,4.6
7,Guangzhou University of Chinese Medicine,CN,152,88,57.9,3529,23.2,27,17.8
8,Chinese University of Hong Kong,HK,144,118,81.9,6293,43.7,60,41.7
9,China Pharmaceutical University,CN,130,72,55.4,3598,27.7,23,17.7
10,China Academy of Chinese Medical Sciences,CN,103,41,39.8,3113,30.2,19,18.4
11,Sun Yat-sen University,CN,95,42,44.2,3570,37.6,34,35.8
12,Peking University,CN,93,57,61.3,2604,28.0,15,16.1
13,Chinese Academy of Medical Sciences & Peking Union Medical College,CN,91,57,62.6,2911,32.0,13,14.3
14,Shanghai Institute of Materia Medica,CN,85,40,47.1,3266,38.4,18,21.2
15,Shanghai Jiao Tong University,CN,83,36,43.4,2717,32.7,11,13.3
16,Zhejiang University,CN,81,43,53.1,2952,36.4,13,16.0
17,Naval Medical University,CN,81,33,40.7,3504,43.3,9,11.1
18,Heilongjiang University of Chinese Medicine,CN,80,54,67.5,1411,17.6,13,16.2
19,Sichuan University,CN,73,44,60.3,2520,34.5,11,15.1
20,Jiangsu University,CN,72,33,45.8,2185,30.3,12,16.7
21,King Saud University,SA,69,45,65.2,2295,33.3,30,43.5
22,Zhejiang Chinese Medical University,CN,68,40,58.8,1130,16.6,6,8.8
23,Wenzhou Medical University,CN,66,35,53.0,783,11.9,5,7.6
24,Fudan University,CN,66,38,57.6,1845,28.0,18,27.3
25,Shandong University of Traditional Chinese Medicine,CN,65,37,56.9,1480,22.8,5,7.7
26,Shandong University,CN,64,33,51.6,1514,23.7,7,10.9
27,Changchun University of Chinese Medicine,CN,61,29,47.5,1619,26.5,2,3.3
28,Hebei University of Chinese Medicine,CN,58,19,32.8,729,12.6,8,13.8
29,University of Hong Kong,HK,58,22,37.9,2916,50.3,41,70.7
30,National Yang Ming University Hospital,TW,56,13,23.2,1355,24.2,25,44.6
31,Guangzhou University,CN,55,22,40.0,1192,21.7,7,12.7
32,University of Mississippi,US,55,33,60.0,1944,35.3,19,34.5
33,University of Chinese Academy of Sciences,CN,54,27,50.0,1476,27.3,5,9.3
34,The University of Sydney,AU,52,30,57.7,2599,50.0,28,53.8
35,Jinan University,CN,52,19,36.5,1303,25.1,17,32.7
36,China Medical University,CN,52,18,34.6,1885,36.2,39,75.0
37,University of Macau,MO,51,20,39.2,2078,40.7,45,88.2
38,Guangdong Pharmaceutical University,CN,50,24,48.0,1364,27.3,4,8.0
39,Jilin University,CN,46,16,34.8,1322,28.7,11,23.9
40,University of Florida,US,46,28,60.9,1853,40.3,27,58.7
41,Huazhong University of Science and Technology,CN,46,22,47.8,1422,30.9,9,19.6
42,Beijing VDJBio (China),CN,46,24,52.2,1474,32.0,9,19.6
43,Guangxi University of Chinese Medicine,CN,46,24,52.2,394,8.6,4,8.7
44,Central South University,CN,45,28,62.2,1638,36.4,10,22.2
45,Capital Medical University,CN,45,21,46.7,918,20.4,12,26.7
46,Shaanxi University of Chinese Medicine,CN,45,20,44.4,881,19.6,5,11.1
47,Nanchang University,CN,45,22,48.9,1527,33.9,5,11.1
48,Kyungpook National University,KR,44,28,63.6,698,15.9,3,6.8
49,Dalian University,CN,44,17,38.6,1315,29.9,7,15.9
50,Hunan University of Traditional Chinese Medicine,CN,43,25,58.1,1511,35.1,8,18.6
51,Kyung Hee University,KR,43,30,69.8,1540,35.8,5,11.6
52,Hong Kong Baptist University,HK,42,16,38.1,1832,43.6,31,73.8
53,Jiangxi University of Traditional Chinese Medicine,CN,42,21,50.0,1059,25.2,5,11.9
54,Hunan University of Chinese Medicine,CN,41,18,43.9,949,23.1,4,9.8
55,Guizhou University,CN,40,30,75.0,490,12.2,4,10.0
56,ZheJiang Institute For Food and Drug Control,CN,40,11,27.5,625,15.6,6,15.0
57,Taipei City Hospital,TW,38,13,34.2,845,22.2,18,47.4
58,Universiti Sains Malaysia,MY,37,22,59.5,668,18.1,10,27.0
59,Southern Medical University,CN,36,20,55.6,742,20.6,10,27.8
60,Nanjing University,CN,36,21,58.3,818,22.7,5,13.9
61,Fujian University of Traditional Chinese Medicine,CN,36,21,58.3,735,20.4,6,16.7
62,Korea Institute of Oriental Medicine,KR,35,23,65.7,698,19.9,2,5.7
63,Harbin Medical University,CN,35,23,65.7,564,16.1,3,8.6
64,Dalian University of Foreign Languages,CN,35,8,22.9,1381,39.5,12,34.3
65,State Key Laboratory of Magnetism,CN,34,18,52.9,916,26.9,6,17.6
66,Tianjin University,CN,33,10,30.3,1028,31.2,5,15.2
67,Xi'an Jiaotong University,CN,32,17,53.1,653,20.4,5,15.6
68,Zunyi Medical University,CN,32,19,59.4,564,17.6,4,12.5
69,Liaoning University,CN,31,13,41.9,1117,36.0,10,32.3
70,University of Washington,US,31,14,45.2,1331,42.9,11,35.5
71,Guiyang Medical University,CN,31,10,32.3,520,16.8,6,19.4
72,Zhengzhou University,CN,31,16,51.6,567,18.3,7,22.6
73,Taipei Medical University,TW,31,13,41.9,634,20.5,13,41.9
74,Kaohsiung Medical University,TW,30,10,33.3,491,16.4,22,73.3
75,Lanzhou University,CN,30,14,46.7,667,22.2,4,13.3
76,Guangdong Medical College,CN,30,10,33.3,446,14.9,2,6.7
77,Shanxi University,CN,29,14,48.3,510,17.6,5,17.2
78,Nanjing University of Science and Technology,CN,29,13,44.8,890,30.7,3,10.3
79,Chinese Academy of Sciences,CN,28,4,14.3,1195,42.7,12,42.9
80,Stellenbosch University,ZA,28,14,50.0,1533,54.8,15,53.6
81,Johannes Gutenberg University Mainz,DE,28,20,71.4,882,31.5,15,53.6
82,Memorial Sloan Kettering Cancer Center,US,28,21,75.0,640,22.9,7,25.0
