rank,year,first_author,title,journal,doc_type,citations,record_id
1,2006,Cabrera,Beneficial Effects of Green Tea—A Review,Journal of the American College of Nutrition,Article,1669.0,Scopus:2-s2.0-33747166198
2,2005,Zhou,"Danshen: An overview of its chemistry, pharmacology, pharmacokinetics, and clinical use",JOURNAL OF CLINICAL PHARMACOLOGY,Review,1275.0,WoS:WOS:000233303300002
3,2005,Holbrook,Systematic overview of warfarin and its drug and food interactions,ARCHIVES OF INTERNAL MEDICINE,Review,1158.0,WoS:WOS:000229326700002
4,2013,Ahmad,A review on therapeutic potential of Nigella sativa: A miracle herb,Asian Pacific Journal of Tropical Biomedicine,Article,1158.0,Scopus:2-s2.0-84875398742
5,2019,Andrade,EASL Clinical Practice Guidelines: Drug-induced liver injury,Journal of Hepatology,Article,1004.0,Scopus:2-s2.0-85063318685
6,2014,Devinsky,Cannabidiol: Pharmacology and potential therapeutic role in epilepsy and other neuropsychiatric disorders,Epilepsia,Article,822.0,Scopus:2-s2.0-84902304606
7,2013,Csermely,Structure and dynamics of molecular networks: A novel paradigm of drug discovery: A comprehensive review,Pharmacology and Therapeutics,Review,768.0,Scopus:2-s2.0-84877580262
8,2016,Dong,"Emodin: A Review of its Pharmacology, Toxicity and Pharmacokinetics",Phytotherapy Research,Review,712.0,Scopus:2-s2.0-84982851833
9,2010,Potterat,"Goji (Lycium barbarum and L-chinense): Phytochemistry, Pharmacology and Safety in the Perspective of Traditional Uses and Recent Popularity",PLANTA MEDICA,Review,642.0,WoS:WOS:000273762100001
10,2005,Hu,Herb-drug interactions - A literature review,DRUGS,Review,637.0,WoS:WOS:000230204300005
11,2020,Luo,"Network Pharmacology in Research of Chinese Medicine Formula: Methodology, Application and Prospective",Chinese Journal of Integrative Medicine,Review,613.0,Scopus:2-s2.0-85064257262
12,2017,Bandelow,Treatment of anxiety disorders,Dialogues in Clinical Neuroscience,Article,612.0,Scopus:2-s2.0-85028623793
13,2009,Izzo,Interactions between herbal medicines and prescribed drugs: An updated systematic review,Drugs,Review,608.0,Scopus:2-s2.0-69749095454
14,2010,Gohil,Pharmacological Review on Centella asiatica: A Potential Herbal Cure-all,INDIAN JOURNAL OF PHARMACEUTICAL SCIENCES,Review,564.0,WoS:WOS:000289621500002
15,2012,Gong,Polymeric micelles drug delivery system in oncology,JOURNAL OF CONTROLLED RELEASE,Review,563.0,WoS:WOS:000305001600002
16,2006,Boudreau,"An evaluation of the biological and toxicological properties of Aloe barbadensis (Miller), Aloe vera",Journal of Environmental Science and Health - Part C Environmental Carcinogenesis and Ecotoxicology Reviews,Review,539.0,Scopus:2-s2.0-33646806070
17,2012,Chen,Genome sequence of the model medicinal mushroom Ganoderma lucidum,NATURE COMMUNICATIONS,Article,534.0,WoS:WOS:000306099900040
18,2016,Izzo,"A Critical Approach to Evaluating Clinical Efficacy, Adverse Events and Drug Interactions of Herbal Remedies",PHYTOTHERAPY RESEARCH,Review,528.0,WoS:WOS:000375787200001
19,2008,Zhou,"Structure, function and regulation of P-glycoprotein and its clinical relevance in drug disposition",Xenobiotica,Review,523.0,Scopus:2-s2.0-47349110179
20,2019,Songbo,Oxidative stress injury in doxorubicin-induced cardiotoxicity,Toxicology Letters,Review,515.0,Scopus:2-s2.0-85062460982
21,2015,Kumar,Current knowledge and pharmacological profile of berberine: An update,EUROPEAN JOURNAL OF PHARMACOLOGY,Review,489.0,WoS:WOS:000359227300038
22,2011,Efferth,Complex interactions between Phytochemicals. The Multi-Target Therapeutic concept of Phytotherapy,Current Drug Targets,Article,476.0,Scopus:2-s2.0-78650912735
23,2008,Efferth,The antiviral activities of artemisinin and artesunate,Clinical Infectious Diseases,Review,473.0,Scopus:2-s2.0-51549118662
24,2007,Mallet,The challenge of managing drug interactions in elderly people,Lancet,Review,462.0,Scopus:2-s2.0-34447261692
25,2007,Cheng,Cardiovascular effects of Danshen,INTERNATIONAL JOURNAL OF CARDIOLOGY,Review,460.0,WoS:WOS:000249576700003
26,2014,Parasuraman,Polyherbal formulation: Concept of ayurveda,Pharmacognosy Reviews,Review,460.0,Scopus:2-s2.0-84902975788
27,2011,Rasoanaivo,Whole plant extracts versus single compounds for the treatment of malaria: Synergy and positive interactions,Malaria Journal,Review,456.0,Scopus:2-s2.0-79952758442
28,2013,Chua,A review on plant-based rutin extraction methods and its pharmacological activities,Journal of Ethnopharmacology,Review,446.0,Scopus:2-s2.0-84889094066
29,2015,Tian,The application of in silico drug-likeness predictions in pharmaceutical research,Advanced Drug Delivery Reviews,Review,445.0,Scopus:2-s2.0-84937630428
30,2020,Zhang,In silico screening of Chinese herbal medicines with the potential to directly inhibit 2019 novel coronavirus,Journal of Integrative Medicine,Article,431.0,Scopus:2-s2.0-85080072709
