tier,herb_active_compound,mechanism,obs,expected,row_total,col_total,N_tier,OR_raw,OR_ha,log2_OR_ha,p,q,classification
compound,hyperforin,CYP_induction,12,2.6559139784946235,19,26,186,18.73469387755102,17.64367816091954,4.141079444408813,1.1286332910711197e-07,3.893784854195363e-05,strong_enrichment
compound,triptolide,receptor_synergism,5,0.9032258064516129,6,28,186,34.130434782608695,24.574468085106382,4.619088284625782,0.0003000281993548579,0.05175486438871299,ns
compound,schisantherin A,CYP_inhibition,5,1.1559139784946237,5,43,186,inf,41.0,5.357552004618084,0.0005477737641534113,0.054675785593318774,ns
compound,wogonin,UGT_inhibition,4,0.5268817204301075,7,14,186,22.533333333333335,20.755102040816325,4.375394119742292,0.0006339221518065945,0.054675785593318774,ns
compound,quercetin,signaling_pathway_modulation,3,0.2903225806451613,6,9,186,29.0,26.846153846153847,4.74664350806856,0.0014771736158793686,0.09357744841615809,ns
compound,glycyrrhizin,UGT_induction,2,0.08602150537634409,8,2,186,inf,137.30769230769232,7.10126864077537,0.0016274338854984016,0.09357744841615809,ns
compound,curcumin,antagonistic_efficacy,2,0.0967741935483871,9,2,186,inf,118.33333333333333,6.886712713670888,0.0020924149956408023,0.10312616764229669,ns
compound,icariin,receptor_synergism,4,0.9032258064516129,6,28,186,13.0,11.49795918367347,3.52330590937236,0.005090514497756382,0.21952843771574398,ns
compound,glycyrrhetinic acid,UGT_inhibition,3,0.5268817204301075,7,14,186,11.454545454545455,11.396135265700483,3.5104727457401372,0.010035587931211698,0.3488281014883619,ns
compound,paeoniflorin,transporter_modulation,3,0.532258064516129,9,11,186,10.5625,10.737556561085972,3.4245938258025164,0.010742190993681408,0.3488281014883619,ns
compound,andrographolide,CYP_inhibition,6,2.3118279569892475,10,43,186,5.635135135135135,5.373333333333333,2.425817338032086,0.011122055409773858,0.3488281014883619,ns
compound,glycyrrhizic acid,organ_toxicity_modulation,2,0.1935483870967742,6,6,186,22.0,21.790123456790123,4.445602465273918,0.012333372244213296,0.35458445202113226,ns
compound,curcumin,synergistic_efficacy,3,0.5806451612903226,9,12,186,9.333333333333334,9.550607287449393,3.255592471654785,0.013963257367357628,0.3705633685952601,ns
compound,evodiamine,transporter_modulation,2,0.2956989247311828,5,11,186,12.74074074074074,12.969924812030076,3.697098211051704,0.02894168183984936,0.7132057310534308,ns
compound,berberine,absorption_alteration,4,1.4193548387096775,24,11,186,4.428571428571429,4.5512195121951216,2.1862531713463125,0.03812339636726874,0.8220357341692321,ns
compound,berberine,transporter_modulation,4,1.4193548387096775,24,11,186,4.428571428571429,4.5512195121951216,2.1862531713463125,0.03812339636726874,0.8220357341692321,ns
compound,cryptotanshinone,P-gp_inhibition,2,0.3763440860215054,5,14,186,9.38888888888889,9.685714285714285,3.275858446191377,0.04629915593748855,0.9396005175549146,ns
compound,astragaloside IV,synergistic_efficacy,2,0.3870967741935484,6,12,186,8.5,9.02116402116402,3.173313599690462,0.04965274539555432,0.9516776200814577,ns
compound,icariin,UGT_inhibition,2,0.45161290322580644,6,14,186,7.0,7.488888888888889,2.904751684852184,0.06644558260764231,1.0,ns
compound,astragaloside IV,UGT_inhibition,2,0.45161290322580644,6,14,186,7.0,7.488888888888889,2.904751684852184,0.06644558260764231,1.0,ns
compound,hyperforin,receptor_synergism,0,2.860215053763441,19,28,186,0.0,0.12550607287449392,-2.9941709211978025,0.08269555379060192,1.0,ns
compound,honokiol,absorption_alteration,2,0.532258064516129,9,11,186,5.333333333333333,5.912280701754386,2.563714767017117,0.09126885033558697,1.0,ns
compound,paeoniflorin,absorption_alteration,2,0.532258064516129,9,11,186,5.333333333333333,5.912280701754386,2.563714767017117,0.09126885033558697,1.0,ns
compound,paeoniflorin,receptor_antagonism,1,0.0967741935483871,9,2,186,22.0,20.764705882352942,4.376061532020841,0.09468177855274632,1.0,ns
compound,puerarin,receptor_antagonism,1,0.10752688172043011,10,2,186,19.444444444444443,18.473684210526315,4.207399706860975,0.10491136297587911,1.0,ns
compound,honokiol,synergistic_efficacy,2,0.5806451612903226,9,12,186,4.771428571428571,5.317460317460317,2.4107373618452184,0.10672996892923285,1.0,ns
compound,paeoniflorin,CYP_inhibition,0,2.0806451612903225,9,43,186,0.0,0.16273442226255294,-2.6194086467356894,0.12040225999987002,1.0,ns
compound,emodin,additive_toxicity,1,0.12903225806451613,6,4,186,11.8,13.831168831168831,3.7898511744182994,0.12387672200745568,1.0,ns
compound,astragaloside IV,additive_toxicity,1,0.12903225806451613,6,4,186,11.8,13.831168831168831,3.7898511744182994,0.12387672200745568,1.0,ns
compound,honokiol,P-gp_inhibition,2,0.6774193548387096,9,14,186,3.9285714285714284,4.413333333333333,2.1418687163113366,0.13974564536558545,1.0,ns
compound,paeoniflorin,P-gp_inhibition,2,0.6774193548387096,9,14,186,3.9285714285714284,4.413333333333333,2.1418687163113366,0.13974564536558545,1.0,ns
compound,cryptotanshinone,CYP_induction,2,0.6989247311827957,5,26,186,4.361111111111111,4.591836734693878,2.199071347101829,0.1441160031048059,1.0,ns
compound,evodiamine,organ_toxicity_modulation,1,0.16129032258064516,5,6,186,8.8,10.696969696969697,3.419130253912727,0.15275990699622083,1.0,ns
compound,puerarin,P-gp_inhibition,2,0.7526881720430108,10,14,186,3.4166666666666665,3.8705882352941177,1.9525528375975398,0.16719736235158128,1.0,ns
compound,andrographolide,UGT_inhibition,2,0.7526881720430108,10,14,186,3.4166666666666665,3.8705882352941177,1.9525528375975398,0.16719736235158128,1.0,ns
compound,quercetin,organ_toxicity_modulation,1,0.1935483870967742,6,6,186,7.0,8.702479338842975,3.1214264837511223,0.18084521394662242,1.0,ns
compound,curcumin,additive_toxicity,1,0.1935483870967742,9,4,186,7.25,8.798319327731093,3.137227963622865,0.18130969817448103,1.0,ns
compound,hyperforin,P-gp_induction,1,0.20430107526881722,19,2,186,9.222222222222221,9.0,3.169925001442312,0.19436210403952336,1.0,ns
compound,emodin,CYP_induction,2,0.8387096774193549,6,26,186,3.25,3.54875283446712,1.82731209626246,0.1978505584096272,1.0,ns
compound,salvianolic acid B,CYP_induction,2,0.8387096774193549,6,26,186,3.25,3.54875283446712,1.82731209626246,0.1978505584096272,1.0,ns
compound,puerarin,additive_toxicity,1,0.21505376344086022,10,4,186,6.407407407407407,7.827067669172933,2.9684719177982277,0.19981117392195039,1.0,ns
compound,glycyrrhetinic acid,CYP_inhibition,3,1.618279569892473,7,43,186,2.60625,2.6790123456790123,1.4217012295598546,0.2022387294398901,1.0,ns
compound,berberine,CYP_induction,1,3.3548387096774195,24,26,186,0.2382608695652174,0.344180225281602,-1.5387638845159548,0.20786370747481742,1.0,ns
compound,berberine,P-gp_inhibition,0,1.8064516129032258,24,14,186,0.0,0.20900774102744546,-2.2583717184420147,0.2216670079885707,1.0,ns
compound,berberine,UGT_inhibition,0,1.8064516129032258,24,14,186,0.0,0.20900774102744546,-2.2583717184420147,0.2216670079885707,1.0,ns
compound,tanshinone IIA,receptor_synergism,2,0.9032258064516129,6,28,186,2.9615384615384617,3.238993710691824,1.6955456667862254,0.22315345080099375,1.0,ns
compound,Astragaloside IV,receptor_synergism,2,0.9032258064516129,6,28,186,2.9615384615384617,3.238993710691824,1.6955456667862254,0.22315345080099375,1.0,ns
compound,glycyrrhizin,organ_toxicity_modulation,1,0.25806451612903225,8,6,186,4.942857142857143,6.3090909090909095,2.6574321390536015,0.23469281906335285,1.0,ns
compound,berberine,P-gp_induction,1,0.25806451612903225,24,2,186,7.0,6.872340425531915,2.7808015030162876,0.24202266782911946,1.0,ns
compound,emodin,signaling_pathway_modulation,1,0.2903225806451613,6,9,186,4.3,5.53475935828877,2.468520592499051,0.2604896903308803,1.0,ns
compound,Astragaloside IV,signaling_pathway_modulation,1,0.2903225806451613,6,9,186,4.3,5.53475935828877,2.468520592499051,0.2604896903308803,1.0,ns
compound,magnolol,absorption_alteration,1,0.2956989247311828,5,11,186,4.275,5.444444444444445,2.4447848426728958,0.2652611840469657,1.0,ns
compound,wogonin,signaling_pathway_modulation,1,0.3387096774193548,7,9,186,3.5625,4.656108597285068,2.219124707502537,0.2974652058143363,1.0,ns
compound,glycyrrhizic acid,absorption_alteration,1,0.3548387096774194,6,11,186,3.4,4.428571428571429,2.146841388329271,0.3099138192706309,1.0,ns
compound,glycyrrhizin,CYP_induction,2,1.118279569892473,8,26,186,2.138888888888889,2.425431711145997,1.2782415605354365,0.31019080151878325,1.0,ns
compound,magnolol,UGT_inhibition,1,0.3763440860215054,5,14,186,3.230769230769231,4.160493827160494,2.0567547782972335,0.3267994041911684,1.0,ns
compound,magnolol,CYP_inhibition,2,1.1559139784946237,5,43,186,2.2764227642276422,2.4182444061962136,1.2739600617037596,0.3271010992138531,1.0,ns
compound,berberine,signaling_pathway_modulation,2,1.1612903225806452,24,9,186,2.012987012987013,2.303703703703704,1.2039551730797717,0.327296525363538,1.0,ns
compound,tanshinone IIA,synergistic_efficacy,1,0.3870967741935484,6,12,186,3.0727272727272728,4.019762845849803,2.00711038916319,0.3335739168956377,1.0,ns
compound,triptolide,synergistic_efficacy,1,0.3870967741935484,6,12,186,3.0727272727272728,4.019762845849803,2.00711038916319,0.3335739168956377,1.0,ns
compound,Astragaloside IV,synergistic_efficacy,1,0.3870967741935484,6,12,186,3.0727272727272728,4.019762845849803,2.00711038916319,0.3335739168956377,1.0,ns
compound,icariin,CYP_inhibition,0,1.3870967741935485,6,43,186,0.0,0.24314765694076038,-2.0400954055777984,0.3388842338188731,1.0,ns
compound,triptolide,CYP_inhibition,0,1.3870967741935485,6,43,186,0.0,0.24314765694076038,-2.0400954055777984,0.3388842338188731,1.0,ns
compound,wogonin,CYP_inhibition,0,1.618279569892473,7,43,186,0.0,0.20919540229885059,-2.257076950537394,0.35556265524256814,1.0,ns
compound,curcumin,receptor_synergism,0,1.3548387096774193,9,28,186,0.0,0.2760849492151431,-1.8568158534102224,0.35949873216415584,1.0,ns
compound,honokiol,CYP_induction,0,1.2580645161290323,9,26,186,0.0,0.30089374379344586,-1.732673984533834,0.36446692756567295,1.0,ns
compound,paeoniflorin,CYP_induction,0,1.2580645161290323,9,26,186,0.0,0.30089374379344586,-1.732673984533834,0.36446692756567295,1.0,ns
compound,curcumin,CYP_induction,0,1.2580645161290323,9,26,186,0.0,0.30089374379344586,-1.732673984533834,0.36446692756567295,1.0,ns
compound,hyperforin,P-gp_inhibition,0,1.4301075268817205,19,14,186,0.0,0.27144120247568526,-1.8812883686196409,0.36764433887456505,1.0,ns
compound,hyperforin,UGT_inhibition,0,1.4301075268817205,19,14,186,0.0,0.27144120247568526,-1.8812883686196409,0.36764433887456505,1.0,ns
compound,berberine,synergistic_efficacy,0,1.5483870967741935,24,12,186,0.0,0.24571428571428572,-2.0249463571302306,0.36972830623552266,1.0,ns
compound,berberine,receptor_synergism,5,3.6129032258064515,24,28,186,1.5903890160183067,1.67430441898527,0.7435618599265991,0.37030815587549976,1.0,ns
compound,wogonin,synergistic_efficacy,1,0.45161290322580644,7,12,186,2.5454545454545454,3.3812709030100336,1.7575656077049098,0.3780023224359284,1.0,ns
compound,glycyrrhizic acid,P-gp_inhibition,1,0.45161290322580644,6,14,186,2.5692307692307694,3.3838383838383836,1.758660665265525,0.37887016850787364,1.0,ns
compound,salvianolic acid B,P-gp_inhibition,1,0.45161290322580644,6,14,186,2.5692307692307694,3.3838383838383836,1.758660665265525,0.37887016850787364,1.0,ns
compound,tanshinone IIA,P-gp_inhibition,1,0.45161290322580644,6,14,186,2.5692307692307694,3.3838383838383836,1.758660665265525,0.37887016850787364,1.0,ns
compound,Astragaloside IV,P-gp_inhibition,1,0.45161290322580644,6,14,186,2.5692307692307694,3.3838383838383836,1.758660665265525,0.37887016850787364,1.0,ns
compound,glycyrrhizin,absorption_alteration,1,0.4731182795698925,8,11,186,2.4,3.2095238095238097,1.6823592635157358,0.391901711878701,1.0,ns
compound,glycyrrhizin,transporter_modulation,1,0.4731182795698925,8,11,186,2.4,3.2095238095238097,1.6823592635157358,0.391901711878701,1.0,ns
