mechanism,family,family_obs,family_OR,family_q,family_sig,species,species_obs,species_OR,species_q,species_sig,compound,compound_obs,compound_OR,compound_q,compound_sig,chain_class
CYP_induction,Hypericaceae,39,14.204210526315787,2.909268500824157e-17,True,Hypericum perforatum,39.0,14.706501547987616,4.41049247014045e-17,True,hyperforin,12.0,18.73469387755102,3.893784854195363e-05,True,FULL_CHAIN
CYP_inhibition,Acanthaceae,13,6.639484978540772,0.0154805293773691,True,Andrographis paniculata,13.0,7.828415300546448,0.010867023637514,True,andrographolide,6.0,5.635135135135135,0.3488281014883619,False,F_S_COMPOUND_NOT_SIG
CYP_inhibition,Piperaceae,9,11.354430379746836,0.0282665132723419,True,Piper nigrum,9.0,13.331550802139038,0.0203689811772145,True,,,,,False,FAMILY_SPECIES_NO_COMPOUND_DATA
P-gp_inhibition,Lamiaceae,14,3.340696117804552,0.041157217635098,True,Salvia miltiorrhiza,10.0,3.618312189740761,0.0994443716299054,False,cryptotanshinone,2.0,9.38888888888889,0.9396005175549146,False,FAMILY_PERVASIVE
P-gp_inhibition,Lamiaceae,14,3.340696117804552,0.041157217635098,True,Salvia miltiorrhiza,10.0,3.618312189740761,0.0994443716299054,False,salvianolic acid B,1.0,2.569230769230769,1.0,False,FAMILY_PERVASIVE
P-gp_inhibition,Lamiaceae,14,3.340696117804552,0.041157217635098,True,Salvia miltiorrhiza,10.0,3.618312189740761,0.0994443716299054,False,tanshinone IIA,1.0,2.569230769230769,1.0,False,FAMILY_PERVASIVE
P-gp_inhibition,Lamiaceae,14,3.340696117804552,0.041157217635098,True,Scutellaria baicalensis,4.0,2.530232558139535,0.8011797411956777,False,wogonin,1.0,2.128205128205128,1.0,False,FAMILY_PERVASIVE
UGT_inhibition,Fabaceae,11,2.1477079796264857,0.4580714101934267,False,Glycyrrhiza uralensis,9.0,5.1233108108108105,0.0436432042351455,True,glycyrrhetinic acid,3.0,11.454545454545457,0.3488281014883619,False,SPECIES_SPECIFIC
UGT_inhibition,Fabaceae,11,2.1477079796264857,0.4580714101934267,False,Glycyrrhiza uralensis,9.0,5.1233108108108105,0.0436432042351455,True,glycyrrhizic acid,0.0,0.0,1.0,False,SPECIES_SPECIFIC
UGT_inhibition,Fabaceae,11,2.1477079796264857,0.4580714101934267,False,Glycyrrhiza uralensis,9.0,5.1233108108108105,0.0436432042351455,True,glycyrrhizin,0.0,0.0,1.0,False,SPECIES_SPECIFIC
receptor_synergism,Animal_derived,6,11.166666666666666,0.0282665132723419,True,Bufo_bufo_gargarizans,6.0,10.866666666666667,0.0436432042351455,True,,,,,False,FAMILY_SPECIES_NO_COMPOUND_DATA
transporter_modulation,Lamiaceae,13,3.4676339285714284,0.041157217635098,True,Salvia miltiorrhiza,10.0,3.618312189740761,0.0994443716299054,False,cryptotanshinone,0.0,0.0,1.0,False,FAMILY_PERVASIVE
transporter_modulation,Lamiaceae,13,3.4676339285714284,0.041157217635098,True,Salvia miltiorrhiza,10.0,3.618312189740761,0.0994443716299054,False,salvianolic acid B,0.0,0.0,1.0,False,FAMILY_PERVASIVE
transporter_modulation,Lamiaceae,13,3.4676339285714284,0.041157217635098,True,Salvia miltiorrhiza,10.0,3.618312189740761,0.0994443716299054,False,tanshinone IIA,0.0,0.0,1.0,False,FAMILY_PERVASIVE
transporter_modulation,Lamiaceae,13,3.4676339285714284,0.041157217635098,True,Scutellaria baicalensis,3.0,1.7805944055944056,1.0,False,wogonin,0.0,0.0,1.0,False,FAMILY_PERVASIVE
