tier,herb_family,mechanism,obs,expected,row_total,col_total,N_tier,OR_raw,OR_ha,log2_OR_ha,p,q,classification
family,Hypericaceae,CYP_induction,39,9.3451536643026,59,134,846,14.204210526315789,13.97203422296003,3.804470176459821,7.576220054229575e-20,2.909268500824157e-17,strong_enrichment
family,Lamiaceae,CYP_inhibition,12,28.20567375886525,97,246,846,0.31070889894419307,0.32138804723250913,-1.6376118202584413,7.08240930801143e-05,0.00989037412893883,strong_depletion
family,Zingiberaceae,antagonistic_efficacy,3,0.13120567375886524,37,3,846,inf,164.2463768115942,7.3597177355820005,7.726854788233461e-05,0.00989037412893883,weak_sig
family,Acanthaceae,CYP_inhibition,13,5.23404255319149,18,246,846,6.639484978540772,6.259879306988514,2.6461348416806234,0.00016125551434759534,0.015480529377369153,strong_enrichment
family,Piperaceae,CYP_inhibition,9,3.198581560283688,11,246,846,11.354430379746836,9.576,3.259423152281415,0.0004088332111830053,0.028266513272341982,strong_enrichment
family,Animal_derived,receptor_synergism,6,1.2411347517730495,10,105,846,11.166666666666666,10.706309324399777,3.420389335291697,0.0004416642698803435,0.028266513272341982,strong_enrichment
family,Lamiaceae,P-gp_inhibition,14,5.732860520094563,97,50,846,3.3406961178045513,3.394553359035354,1.7632217632492662,0.000756160569825985,0.041157217635098,strong_enrichment
family,Lamiaceae,transporter_modulation,13,5.159574468085107,97,45,846,3.4676339285714284,3.5270823850705506,1.8184752744158799,0.0008574420340645416,0.041157217635098,strong_enrichment
family,Phyllanthaceae,CYP_inhibition,8,3.198581560283688,11,246,846,6.689075630252101,6.084156933213537,2.6050573660553344,0.0032570947280004363,0.13896937506135196,ns
family,Berberidaceae,receptor_synergism,7,2.234042553191489,18,105,846,4.740259740259741,4.836680644449349,2.274017282898628,0.003706666482483449,0.14233599292736443,ns
family,Schisandraceae,CYP_inhibition,24,15.120567375886525,52,246,846,2.2084942084942085,2.21190616991918,1.1452901870810128,0.007109804232153934,0.23498842327587927,ns
family,Ranunculaceae,absorption_alteration,10,4.302600472813239,70,52,846,2.9126984126984126,2.999416626154594,1.584681929922744,0.007343388227371227,0.23498842327587927,ns
family,Ginkgoaceae,transporter_modulation,5,1.3297872340425532,25,45,846,4.88125,5.177055103884372,2.3721316741342533,0.008116943238808554,0.23976201566942193,ns
family,Ginkgoaceae,additive_toxicity,3,0.5023640661938534,25,17,846,7.8603896103896105,8.662835249042146,3.1148392801816445,0.011802423780319975,0.32372362368877644,ns
family,Celastraceae,P-gp_inhibition,5,1.4775413711583925,25,50,846,4.311111111111111,4.578665237201823,2.1949270882078187,0.012716362245516585,0.3255388734852246,ns
family,Paeoniaceae,CYP_inhibition,0,4.070921985815603,14,246,846,0.0,0.08204518430439953,-3.607437533476975,0.01399715921422039,0.3282535367713924,ns
family,Polygonaceae,organ_toxicity_modulation,5,1.5271867612293144,38,34,846,4.070010449320794,4.338224133569441,2.1171045915154685,0.014932488251645929,0.3282535367713924,ns
family,Amaryllidaceae,additive_toxicity,2,0.20094562647754138,10,17,846,13.683333333333334,15.588235294117647,3.9623857082002223,0.015568085198911617,0.3282535367713924,ns
family,Magnoliaceae,synergistic_efficacy,5,1.5886524822695036,21,64,846,4.057203389830509,4.294117647058823,2.1023617176296776,0.016694674155287477,0.3282535367713924,ns
