herb_family,CYP_inhibition,CYP_induction,receptor_synergism,synergistic_efficacy,absorption_alteration,P-gp_inhibition,transporter_modulation,UGT_inhibition,organ_toxicity_modulation,signaling_pathway_modulation,additive_toxicity,receptor_antagonism,P-gp_induction,UGT_induction,antagonistic_efficacy,protein_binding_displacement
Fabaceae,37,11,11,13,11,6,4,11,6,8,2,3,0,2,0,0
Lamiaceae,12,8,18,10,5,14,13,5,4,4,2,2,0,0,0,0
Ranunculaceae,23,9,12,3,10,1,6,0,3,2,0,0,1,0,0,0
Araliaceae,14,10,5,9,7,3,1,7,3,2,1,2,0,0,0,0
Hypericaceae,11,39,3,1,1,0,2,0,0,1,0,0,1,0,0,0
Schisandraceae,24,8,2,2,2,5,0,3,4,2,0,0,0,0,0,0
Apiaceae,20,9,5,1,3,1,1,0,3,0,2,1,0,0,0,0
Polygonaceae,9,11,1,0,1,0,2,4,5,2,1,0,2,0,0,0
Zingiberaceae,13,4,6,4,2,3,0,0,0,1,1,0,0,0,3,0
Asteraceae,9,6,3,2,0,3,0,2,1,0,1,0,0,0,0,0
Celastraceae,7,0,6,1,1,5,0,3,2,0,0,0,0,0,0,0
Ginkgoaceae,3,7,1,0,1,0,5,1,2,1,3,0,0,0,0,1
Theaceae,9,0,2,3,2,0,4,1,0,0,2,1,0,0,0,0
Magnoliaceae,5,1,4,5,2,3,0,1,0,0,0,0,0,0,0,0
Rutaceae,5,2,3,1,1,1,2,0,1,2,0,1,0,1,0,0
Berberidaceae,7,1,7,0,0,0,0,2,0,1,0,0,0,0,0,0
Acanthaceae,13,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0
Menispermaceae,2,1,4,3,0,1,0,0,0,1,0,2,0,0,0,0
Paeoniaceae,0,2,1,1,2,2,3,0,0,1,0,2,0,0,0,0
Phyllanthaceae,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Piperaceae,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Amaryllidaceae,0,2,0,2,1,0,1,0,0,1,2,0,1,0,0,0
Apocynaceae,4,0,2,2,0,0,1,0,0,1,0,0,0,0,0,0
Animal_derived,2,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0
