tcm_formula,CYP_induction,CYP_inhibition,P-gp_inhibition,absorption_alteration,organ_toxicity_modulation,receptor_antagonism,receptor_synergism,signaling_pathway_modulation,synergistic_efficacy,transporter_modulation
Wuzhi capsule,0,5,0,0,0,0,0,0,0,0
Wuzhi tablet,0,3,2,0,0,0,0,0,0,0
Chi-Zhi-Huang decoction,2,2,0,0,0,0,0,0,0,0
Danhong injection,1,1,0,0,0,0,1,0,0,1
Shenmai injection,2,0,0,0,0,1,1,0,0,0
Zuo Jin Wan,0,0,0,0,0,0,1,2,0,0
Dangfei Liganning capsules,0,0,0,0,2,0,0,0,0,0
Danggui Buxue Decoction,0,0,0,0,0,0,1,0,1,0
Hwang-Ryun-Hae-Dok-Tang,0,2,0,0,0,0,0,0,0,0
Shaoyao-Gancao decoction,0,0,0,1,0,0,0,1,0,0
Shenghe Powder,0,0,1,0,0,0,0,0,0,1
Wu-Zi-Yan-Zong-Wan,0,0,0,0,2,0,0,0,0,0
Yahom Tultavai,1,1,0,0,0,0,0,0,0,0
Yu Ping Feng San,0,0,0,0,0,0,1,1,0,0
Zhenwu Decoction,1,1,0,0,0,0,0,0,0,0
