herb_canonical_latin,total_records
Salvia miltiorrhiza,59
Hypericum perforatum,58
Coptis chinensis,48
Schisandra chinensis,47
Glycyrrhiza uralensis,46
Panax ginseng,43
Astragalus membranaceus,39
Curcuma longa,31
Scutellaria baicalensis,29
Ginkgo biloba,25
Camellia sinensis,24
Magnolia officinalis,21
Rheum officinale,21
Panax notoginseng,20
Tripterygium wilfordii,19
multi_source_quercetin,19
Pueraria lobata,18
Andrographis paniculata,18
Epimedium brevicornum,16
Sophora flavescens,14
Paeonia lactiflora,14
Reynoutria multiflora,13
Stephania tetrandra,13
Ligusticum chuanxiong,12
Aconitum carmichaelii,12
Piper nigrum,11
Phyllanthus amarus,11
Angelica sinensis,11
Allium sativum,10
Marsdenia tenacissima,10
Bufo_bufo_gargarizans,10
Tetradium ruticarpum,10
