tier,herb_canonical_latin,mechanism,obs,expected,row_total,col_total,N_tier,OR_raw,OR_ha,log2_OR_ha,p,q,classification
species,Hypericum perforatum,CYP_induction,39,9.563829787234043,58,124,752,14.706501547987616,14.440095966411755,3.852008425049169,8.614243105743067e-20,4.4104924701404504e-17,strong_enrichment
species,Andrographis paniculata,CYP_inhibition,13,4.691489361702128,18,196,752,7.828415300546448,7.377012633143424,2.883036706274341,4.39667061912804e-05,0.010867023637514047,strong_enrichment
species,Curcuma longa,antagonistic_efficacy,3,0.12367021276595745,31,3,752,inf,177.21052631578948,7.46932049238406,6.367396662605887e-05,0.010867023637514047,weak_sig
species,Piper nigrum,CYP_inhibition,9,2.867021276595745,11,196,752,13.331550802139038,11.237866666666667,3.4902962833346898,0.0001591326654469889,0.020368981177214578,strong_enrichment
species,Glycyrrhiza uralensis,UGT_inhibition,9,2.507978723404255,46,41,752,5.1233108108108105,5.257641025641026,2.394415642867518,0.00043339313916397734,0.0436432042351455,strong_enrichment
species,Bufo_bufo_gargarizans,receptor_synergism,6,1.2765957446808511,10,96,752,10.866666666666667,10.414364640883978,3.3805029210728215,0.0005114437996306113,0.0436432042351455,strong_enrichment
species,Reynoutria multiflora,organ_toxicity_modulation,4,0.5013297872340425,13,29,752,12.693333333333333,13.272445820433436,3.7303623471230476,0.001006684023868852,0.07363174574583604,ns
species,Phyllanthus amarus,CYP_inhibition,8,2.867021276595745,11,196,752,7.843971631205674,7.1311102690413035,2.8341267127056233,0.001474591897438509,0.09437388143606458,ns
species,Epimedium brevicornum,receptor_synergism,7,2.0425531914893615,16,96,752,5.6541822721598,5.711555424875037,2.513883687474593,0.0019303781014852709,0.09944437162990542,ns
species,Salvia miltiorrhiza,P-gp_inhibition,10,3.6875,59,47,752,3.6183121897407613,3.7135353535353537,1.8927933130961567,0.0021365001717362493,0.09944437162990542,ns
species,Salvia miltiorrhiza,transporter_modulation,10,3.6875,59,47,752,3.6183121897407613,3.7135353535353537,1.8927933130961567,0.0021365001717362493,0.09944437162990542,ns
species,Salvia miltiorrhiza,CYP_inhibition,6,15.377659574468085,59,196,752,0.2997020854021847,0.3211175705840508,-1.6388264877465921,0.0029792762611510104,0.12711578714244312,ns
species,Tripterygium wilfordii,P-gp_inhibition,5,1.1875,19,47,752,5.875850340136054,6.171602434077079,2.6256451285225175,0.004614250813381547,0.18173049357318094,ns
species,Schisandra chinensis,CYP_inhibition,21,12.25,47,196,752,2.4461538461538463,2.452453905284094,1.294226020749103,0.005283392820044567,0.19322122313305842,ns
species,Panax notoginseng,absorption_alteration,5,1.25,20,47,752,5.476190476190476,5.765085388994307,2.527341976370771,0.005865697710186346,0.2002158151743606,ns
species,Coptis chinensis,absorption_alteration,8,3.0,48,47,752,3.41025641025641,3.5360212533208313,1.8221269461005034,0.0070645617926753555,0.21283660599606685,ns
species,Rheum officinale,P-gp_induction,2,0.13962765957446807,21,5,752,25.54385964912281,26.684981684981686,4.737956116032023,0.007066840433463157,0.21283660599606685,ns
species,Glycyrrhiza uralensis,UGT_induction,2,0.18351063829787234,46,3,752,32.04545454545455,26.423220973782772,4.7237344357970725,0.010565912117177096,0.30054150022192627,ns
species,Ginkgo biloba,additive_toxicity,3,0.49867021276595747,25,15,752,8.125,8.904,3.1544535926798725,0.0113551870496959,0.3059924089181211,ns
species,Allium sativum,additive_toxicity,2,0.19946808510638298,10,15,752,14.01923076923077,15.893246187363834,3.990341919391445,0.01524968068725305,0.3686843175095333,ns
species,Magnolia officinalis,synergistic_efficacy,5,1.5638297872340425,21,56,752,4.166666666666667,4.4045307443365695,2.1389883235996203,0.01547826726211952,0.3686843175095333,ns
species,Ginkgo biloba,transporter_modulation,5,1.5625,25,47,752,4.0773809523809526,4.327403156384505,2.1135015336607377,0.015841904267987757,0.3686843175095333,ns
species,Hypericum perforatum,synergistic_efficacy,0,4.319148936170213,58,56,752,0.0,0.09658876030557446,-3.3720008722958683,0.01664658585642148,0.37056747645599125,ns
species,Astragalus membranaceus,synergistic_efficacy,7,2.904255319148936,39,56,752,2.9642857142857144,3.097902097902098,1.6312915517766289,0.020365184110487808,0.3982695534124026,ns
species,Glycyrrhiza uralensis,receptor_synergism,1,5.872340425531915,46,96,752,0.14292397660818715,0.21109257234911685,-2.2440522789859023,0.021252270723521892,0.3982695534124026,ns
species,Schisandra chinensis,receptor_synergism,1,6.0,47,96,752,0.13958810068649885,0.2062151663570343,-2.2777776534352205,0.021546537110688435,0.3982695534124026,ns
species,Camellia sinensis,CYP_induction,0,3.9574468085106385,24,124,752,0.0,0.09909023850504058,-3.3351132469341653,0.022079716983867577,0.3982695534124026,ns
species,Stephania tetrandra,receptor_antagonism,2,0.24202127659574468,13,14,752,11.015151515151516,12.652173913043478,3.661313386851271,0.02234464835708921,0.3982695534124026,ns
species,Angelica sinensis,CYP_induction,5,1.8138297872340425,11,124,752,4.355742296918767,4.407788863855809,2.1400551194708997,0.022558236423749368,0.3982695534124026,ns
species,Panax ginseng,UGT_inhibition,6,2.3444148936170213,43,41,752,3.1227799227799227,3.2933333333333334,1.7195485410887967,0.024271014241272322,0.41267005049982497,ns
species,Tripterygium wilfordii,receptor_synergism,6,2.425531914893617,19,96,752,3.2974358974358973,3.423572744014733,1.77550266711512,0.02505374658670968,0.41267005049982497,ns
species,Paeonia lactiflora,receptor_antagonism,2,0.26063829787234044,14,14,752,10.083333333333334,11.624,3.539034702970754,0.02579187815623906,0.41267005049982497,ns
species,Paeonia lactiflora,CYP_inhibition,0,3.648936170212766,14,196,752,0.0,0.09520049135737475,-3.392887170054337,0.026601866572002662,0.41273199045046555,ns
species,Ginkgo biloba,protein_binding_displacement,1,0.03324468085106383,25,1,752,inf,89.08163265306122,6.477056094401594,0.03324468085106383,0.49263495783709715,ns
species,Panax ginseng,synergistic_efficacy,7,3.202127659574468,43,56,752,2.619047619047619,2.741801577418016,1.4551241678957194,0.03367621782089531,0.49263495783709715,ns
species,Tripterygium wilfordii,CYP_inhibition,1,4.952127659574468,19,196,752,0.15327635327635328,0.22333586783714662,-2.1627131276709384,0.03467119081854081,0.4931013805303582,ns
