cluster_id,topic_label,mechanism,observed,expected,topic_total,mech_total,odds_ratio,log2_or_haldane,p_value,direction,q_value,significant
30,cyp inhibition / cyp enzymes / cyp isoforms,CYP_inhibition,338,136.06,453,522,17.58686200378072,4.129,1.594867854083784e-122,enriched,9.441617696176e-120,True
24,inhibition ugt / inhibited ugt / ugt isoforms,UGT_inhibition,65,4.09,100,71,505.14285714285717,8.856,9.561217516172626e-85,enriched,2.8301203847870973e-82,True
32,drug transporters / transporter-mediated / anion transporter,transporter_modulation,41,2.54,48,92,188.23249299719888,7.461,1.1090871923311735e-49,enriched,1.8659668374478522e-47,True
11,anticancer / chemotherapy / cancer,CYP_inhibition,5,99.71,332,522,0.026292596075926156,-5.114,1.2607884036809813e-49,depleted,1.8659668374478522e-47,True
17,hepatoprotective / hepatotoxicity / liver injury,organ_toxicity_modulation,56,6.23,123,88,41.34701492537314,5.35,8.036742901106287e-48,enriched,9.515503594909843e-46,True
11,anticancer / chemotherapy / cancer,receptor_synergism,108,40.12,332,210,6.163865546218488,2.621,3.240875789855926e-30,enriched,3.197664112657847e-28,True
23,antimicrobial / antibiotics / antibacterial,synergistic_efficacy,43,6.7,64,182,22.6121959575197,4.477,3.898781981750494e-29,enriched,3.2972556188518464e-27,True
30,cyp inhibition / cyp enzymes / cyp isoforms,receptor_synergism,1,54.74,453,210,0.011390100351441758,-5.875,2.4632212302830755e-28,depleted,1.8227837104094758e-26,True
11,anticancer / chemotherapy / cancer,synergistic_efficacy,96,34.77,332,182,6.243594797004336,2.639,1.1457706920126228e-27,enriched,7.536624996349697e-26,True
30,cyp inhibition / cyp enzymes / cyp isoforms,synergistic_efficacy,0,47.44,453,182,0.0,-7.229,7.653774119655503e-26,depleted,4.531034278836057e-24,True
9,pxr cyp / pxr-mediated / receptor pxr,CYP_induction,35,5.56,46,210,27.581818181818182,4.738,2.2011136176049303e-24,enriched,1.1845993287473807e-22,True
28,medicinal plants / anxiolytic / antiepileptic drugs,receptor_synergism,34,6.28,52,210,16.20580808080808,3.996,3.218047917625474e-20,enriched,1.5875703060285671e-18,True
11,anticancer / chemotherapy / cancer,CYP_induction,1,40.12,332,210,0.01730293875308981,-5.273,1.4004818220779442e-19,depleted,6.377578759001099e-18,True
35,pharmacokinetic parameters / pharmacokinetic / oral administ,absorption_alteration,20,1.93,40,84,25.53125,4.663,3.074878788213225e-17,enriched,1.3002344590158779e-15,True
5,antidepressants / antidepressant / wort sjw,CYP_induction,23,3.62,30,210,26.724980901451488,4.668,2.4168768593908335e-16,enriched,9.538607338395822e-15,True
