topic_label,CYP_inhibition,CYP_induction,receptor_synergism,synergistic_efficacy,P-gp_inhibition,transporter_modulation,organ_toxicity_modulation,absorption_alteration,signaling_pathway_modulation,UGT_inhibition,additive_toxicity,receptor_antagonism,P-gp_induction,antagonistic_efficacy,UGT_induction,protein_binding_displacement
#30 cyp inhibition; cyp enzymes; cyp isoforms (n=512),338,99,1,0,7,2,1,0,1,2,0,1,1,0,0,0
#11 anticancer; chemotherapy; cancer (n=730),5,1,108,96,54,9,7,3,24,0,9,9,3,4,0,0
#17 hepatoprotective; hepatotoxicity; liver injury (n=331),27,13,1,5,1,3,56,0,12,1,3,0,1,0,0,0
#24 inhibition ugt; inhibited ugt; ugt isoforms (n=151),26,5,1,0,1,0,0,0,0,65,0,0,0,0,2,0
#23 antimicrobial; antibiotics; antibacterial (n=100),0,0,13,43,1,0,0,0,0,0,6,0,0,1,0,0
#2 antidiabetic; herb-drug; hypoglycemic (n=227),17,4,6,18,1,1,0,8,2,0,1,0,0,1,0,0
#28 medicinal plants; anxiolytic; antiepileptic drugs (n=139),1,0,34,8,0,0,0,0,1,0,3,5,0,0,0,0
#32 drug transporters; transporter-mediated; anion transporters (n=74),1,0,0,0,4,41,0,1,0,0,1,0,0,0,0,0
#9 pxr cyp; pxr-mediated; receptor pxr (n=63),3,35,0,0,1,1,0,0,6,0,0,0,0,0,0,0
#33 herb-drug interactions; herb-drug; pharmacokinetic interactions (n=103),13,4,0,0,6,7,0,8,0,0,0,0,3,0,0,0
#35 pharmacokinetic parameters; pharmacokinetic; oral administration (n=127),0,1,1,0,11,5,0,20,0,0,0,0,1,0,1,0
#14 cardiovascular diseases; treatment cardiovascular; herb-drug (n=255),5,1,7,1,6,1,3,6,2,2,2,3,0,0,0,0
#6 warfarin; patients warfarin; anticoagulants (n=220),12,6,3,1,1,1,0,4,0,0,5,2,0,0,0,0
#5 antidepressants; antidepressant; wort sjw (n=90),5,23,0,0,0,1,0,0,0,0,0,0,1,0,0,0
#8 atorvastatin; simvastatin; losartan (n=58),14,0,0,1,1,10,0,2,0,0,0,0,0,0,0,0
#1 tacrolimus; cyclosporine; immunosuppressant (n=51),17,3,0,0,3,0,0,1,0,0,0,0,3,0,0,0
#4 neuroprotective; pharmacology; neuroprotective effects (n=172),2,1,15,2,0,1,0,1,2,0,0,1,0,0,0,0
#3 drug interactions; antiretroviral drugs; antiretroviral (n=108),11,5,0,1,2,2,0,1,0,1,0,0,0,1,0,0
#12 ckd; chronic kidney; kidney injury (n=99),1,0,2,0,0,2,8,1,6,0,0,0,0,0,0,0
#10 hormone; testosterone; estrogenic (n=82),1,0,4,0,0,0,1,0,7,0,0,5,0,0,0,0
#27 metabolites; pharmacokinetic; pharmacokinetics (n=192),1,0,0,1,3,2,1,10,0,0,0,0,0,0,0,0
#34 metabolites; oral administration; pharmacokinetic (n=260),1,1,0,0,3,0,0,10,0,0,1,1,0,0,0,0
#20 cancer; network pharmacology; pathways (n=126),1,0,3,2,0,0,2,0,6,0,1,0,0,1,0,0
#31 drug interactions; herb-drug interactions; drug interaction (n=111),7,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1
#13 drug delivery; bioavailability; nanocarriers (n=97),0,0,5,2,1,0,2,1,0,0,0,0,0,0,0,0
#25 phytochemistry pharmacology; pharmacological activities; phytochemical (n=156),1,1,0,0,0,2,3,2,0,0,1,0,0,0,0,0
#26 herb-drug interactions; drug interactions; anticancer drugs (n=204),5,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0
#15 gut microbiome; gut microbiota; microbiome (n=75),0,0,1,0,0,1,1,1,2,0,0,1,0,0,0,0
#22 network pharmacology; pharmacology molecular; pharmacology (n=124),1,0,1,0,0,0,1,0,3,0,0,1,0,0,0,0
#37 herbal supplements; herbal products; herbal drugs (n=147),1,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0
#19 pharmacology; network pharmacology; docking (n=77),1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0
#16 disease nafld; treatment nafld; nafld (n=58),1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0
#21 arthritis; pharmacology; network pharmacology (n=59),1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
#7 pregnant women; adverse events; premenstrual (n=56),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
#38 pharmacies; use herbal; medications (n=236),0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
#18 network pharmacology; inflammatory; pharmacology (n=54),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#36 phytopharmaceutical; herb-drug; ayurveda (n=60),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
