cluster_id,CYP_inhibition,CYP_induction,receptor_synergism,synergistic_efficacy,P-gp_inhibition,transporter_modulation,organ_toxicity_modulation,absorption_alteration,signaling_pathway_modulation,UGT_inhibition,additive_toxicity,receptor_antagonism,P-gp_induction,antagonistic_efficacy,UGT_induction,protein_binding_displacement
30,338,99,1,0,7,2,1,0,1,2,0,1,1,0,0,0
11,5,1,108,96,54,9,7,3,24,0,9,9,3,4,0,0
17,27,13,1,5,1,3,56,0,12,1,3,0,1,0,0,0
24,26,5,1,0,1,0,0,0,0,65,0,0,0,0,2,0
23,0,0,13,43,1,0,0,0,0,0,6,0,0,1,0,0
2,17,4,6,18,1,1,0,8,2,0,1,0,0,1,0,0
28,1,0,34,8,0,0,0,0,1,0,3,5,0,0,0,0
32,1,0,0,0,4,41,0,1,0,0,1,0,0,0,0,0
9,3,35,0,0,1,1,0,0,6,0,0,0,0,0,0,0
33,13,4,0,0,6,7,0,8,0,0,0,0,3,0,0,0
35,0,1,1,0,11,5,0,20,0,0,0,0,1,0,1,0
14,5,1,7,1,6,1,3,6,2,2,2,3,0,0,0,0
6,12,6,3,1,1,1,0,4,0,0,5,2,0,0,0,0
5,5,23,0,0,0,1,0,0,0,0,0,0,1,0,0,0
8,14,0,0,1,1,10,0,2,0,0,0,0,0,0,0,0
1,17,3,0,0,3,0,0,1,0,0,0,0,3,0,0,0
4,2,1,15,2,0,1,0,1,2,0,0,1,0,0,0,0
3,11,5,0,1,2,2,0,1,0,1,0,0,0,1,0,0
12,1,0,2,0,0,2,8,1,6,0,0,0,0,0,0,0
10,1,0,4,0,0,0,1,0,7,0,0,5,0,0,0,0
27,1,0,0,1,3,2,1,10,0,0,0,0,0,0,0,0
34,1,1,0,0,3,0,0,10,0,0,1,1,0,0,0,0
20,1,0,3,2,0,0,2,0,6,0,1,0,0,1,0,0
31,7,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1
13,0,0,5,2,1,0,2,1,0,0,0,0,0,0,0,0
25,1,1,0,0,0,2,3,2,0,0,1,0,0,0,0,0
26,5,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0
15,0,0,1,0,0,1,1,1,2,0,0,1,0,0,0,0
22,1,0,1,0,0,0,1,0,3,0,0,1,0,0,0,0
37,1,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0
19,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0
16,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0
21,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
