cluster_id,topic_label,n_records
30,#30 cyp inhibition; cyp enzymes; cyp isoforms (n=512),453
11,#11 anticancer; chemotherapy; cancer (n=730),332
17,#17 hepatoprotective; hepatotoxicity; liver injury (n=331),123
24,#24 inhibition ugt; inhibited ugt; ugt isoforms (n=151),100
23,#23 antimicrobial; antibiotics; antibacterial (n=100),64
2,#2 antidiabetic; herb-drug; hypoglycemic (n=227),59
28,#28 medicinal plants; anxiolytic; antiepileptic drugs (n=139),52
32,#32 drug transporters; transporter-mediated; anion transporters (n=74),48
9,#9 pxr cyp; pxr-mediated; receptor pxr (n=63),46
33,#33 herb-drug interactions; herb-drug; pharmacokinetic interactions (n=103),41
35,#35 pharmacokinetic parameters; pharmacokinetic; oral administration (n=127),40
14,#14 cardiovascular diseases; treatment cardiovascular; herb-drug (n=255),39
6,#6 warfarin; patients warfarin; anticoagulants (n=220),35
5,#5 antidepressants; antidepressant; wort sjw (n=90),30
8,#8 atorvastatin; simvastatin; losartan (n=58),28
1,#1 tacrolimus; cyclosporine; immunosuppressant (n=51),27
4,#4 neuroprotective; pharmacology; neuroprotective effects (n=172),25
3,#3 drug interactions; antiretroviral drugs; antiretroviral (n=108),24
12,#12 ckd; chronic kidney; kidney injury (n=99),20
10,#10 hormone; testosterone; estrogenic (n=82),18
27,#27 metabolites; pharmacokinetic; pharmacokinetics (n=192),18
34,#34 metabolites; oral administration; pharmacokinetic (n=260),17
20,#20 cancer; network pharmacology; pathways (n=126),16
31,#31 drug interactions; herb-drug interactions; drug interaction (n=111),12
13,#13 drug delivery; bioavailability; nanocarriers (n=97),11
25,#25 phytochemistry pharmacology; pharmacological activities; phytochemical (n=156),10
26,#26 herb-drug interactions; drug interactions; anticancer drugs (n=204),10
15,#15 gut microbiome; gut microbiota; microbiome (n=75),7
22,#22 network pharmacology; pharmacology molecular; pharmacology (n=124),7
37,#37 herbal supplements; herbal products; herbal drugs (n=147),7
19,#19 pharmacology; network pharmacology; docking (n=77),5
16,#16 disease nafld; treatment nafld; nafld (n=58),5
21,#21 arthritis; pharmacology; network pharmacology (n=59),3
7,#7 pregnant women; adverse events; premenstrual (n=56),2
38,#38 pharmacies; use herbal; medications (n=236),2
18,#18 network pharmacology; inflammatory; pharmacology (n=54),1
36,#36 phytopharmaceutical; herb-drug; ayurveda (n=60),1
