cluster_id,n_docs,top_keybert_15,top_ctfidf_15,top_author_kw_10,exemplar_title_1,exemplar_title_2,exemplar_title_3
11,730,anticancer | chemotherapy | cancer | cisplatin | doxorubicin | antitumor | cancer cell | cancer cells | gefitinib | dox | apoptosis | multidrug resistance | multidrug | drug resistance | nsclc,cancer | cancer cells | resistance | apoptosis | tumor | chemotherapy | mdr | cisplatin | mcf | breast | breast cancer | anticancer | lung cancer | cancer cell | gefitinib,apoptosis | multidrug resistance | cancer | p-glycoprotein | chemotherapy | traditional chinese medicine | breast cancer | drug resistance | colorectal cancer | chinese medicine,The Effect of Compound Sophora on Fluorouracil and Oxaliplatin Resistance in Colorectal Cancer Cells,In Vitro and In Vivo Effects of Xanthorrhizol on Human Breast Cancer MCF-7 Cells Treated With Tamoxifen,Treating colorectal cancer with Western and Chinese medicine
30,512,cyp inhibition | cyp enzymes | cyp isoforms | cyp activity | inhibition cyp | herb-drug interactions | inhibited cyp | herb-drug | cyp activities | cytochrome cyp | activity cyp | activities cyp | liver microsomes | cyp cyp | probe drugs,cyp cyp | cytochrome | microsomes | human liver | rats | probe | liver microsomes | cocktail | probe drugs | enzyme | inhibition cyp | cyp activity | tolbutamide | isoforms | cytochrome cyp,cytochrome p450 | herb-drug interaction | herb-drug interactions | inhibition | cyp3a4 | human liver microsomes | interaction | cocktail | cyp450 | cyp,Bioactivity guided fractionation of methanolic extract of Terminalia arjuna for its CYP3A and CYP2D inhibition,In vitro Inhibitory Effects of Cynaroside on Human Liver Cytochrome P450 Enzymes,"In vivo effects of scutellarin on the activities of CYP1A2, CYP2C11, CYP2D1, and CYP3A1/2 by cocktail probe dr"
17,331,hepatoprotective | hepatotoxicity | liver injury | drug-induced liver | liver failure | induced liver | acute liver | alcoholic liver | alcohol | bile acid | cholestatic | oxidative | alcoholic | cholestasis | aminotransferase,liver injury | injury | hepatotoxicity | cholestasis | ald | dili | apap | mice | bile | induced | rats | ccl | alt | bile acid | acute liver,hepatotoxicity | traditional chinese medicine | oxidative stress | liver injury | drug-induced liver injury | cholestasis | acetaminophen | cytochrome p450 | pharmacokinetics | cyp2e1,Drug-Drug Combinations Can Enhance Toxicity as Shown by Monocyte-Derived Hepatocyte-like Cells From Patients W,Review article: Herbal hepatotoxicity - An update on traditional Chinese medicine preparations,An Overview of the Mechanism of Penthorum chinense Pursh on Alcoholic Fatty Liver
34,260,metabolites | oral administration | pharmacokinetic | pharmacokinetic study | metabolites rat | pharmacokinetics | analytes | bioactive | liquid chromatography | rat urine | feces | simultaneous determination | urine | samples | decoction,metabolites | plasma | rat | rats | rat plasma | oral administration | pharmacokinetic | spectrometry | mass spectrometry | urine | rat urine | chromatography | liquid chromatography | decoction | analytes,pharmacokinetics | metabolites | traditional chinese medicine | metabolism | rat plasma | uplc-ms/ms | pharmacokinetic | metabolite | lc-ms/ms | paeoniflorin,"Metabolic profiling of Gegenqinlian decoction in rat plasma, urine, bile and feces after oral administration b",Metabolite profiling of Zi-Shen pill in rat biological specimens by UPLC-Q-TOF/MS,Identification and comparison of metabolites after oral administration of essential oil of Ligusticum chuanxio
14,255,cardiovascular diseases | treatment cardiovascular | herb-drug | cardiovascular disease | cardiovascular | heart disease | hypertension | cvd | heart | salvia | cvds | salvia miltiorrhiza | cardiac | myocardial | tanshinone,cardiovascular | tanshinone | iia | myocardial | cardiovascular diseases | cvd | rats | cvds | tanshinone iia | heart | danshen | cardiac | treatment cardiovascular | miltiorrhiza | endothelial,cardiovascular disease | cardiovascular diseases | pharmacokinetics | traditional chinese medicine | hypertension | tanshinone iia | atherosclerosis | garlic | herb-drug interaction | danshen,Isorhynchophylline: A plant alkaloid with therapeutic potential for cardiovascular and central nervous system ,Aqueous extract from leaf of Artocarpus altilis provides cardio-protection from isoproterenol induced myocardi,Traditional herbs: a remedy for cardiovascular disorders
38,236,pharmacies | use herbal | medications | pharmacy | pharmacists | herbal products | prescription | supplements | knowledge herbal | community pharmacists | dietary supplements | product use | physicians | dietary | care,pharmacists | knowledge | older | community pharmacists | participants | supplements | respondents | students | medications | survey | physicians | questionnaire | cross-sectional | attitudes | care,herbal medicine | herb-drug interactions | polypharmacy | drug interactions | dietary supplements | elderly | herbal medicines | interactions | knowledge | complementary and alternative medicine,Factors associated with dietary supplement use among prescription medication users,Outpatient antibiotic prescribing patterns and appropriateness for children in primary healthcare settings in ,Disclosure of natural product use to primary care physicians: A cross-sectional survey of naturopathic clinic 
2,227,antidiabetic | herb-drug | hypoglycemic | metformin | diabetes | treatment diabetes | mellitus | diabetes mellitus | pioglitazone | gliclazide | diabetic | saxagliptin | pharmacokinetic | berberine | glyburide,diabetes | diabetic | diabetic rats | metformin | rats | antidiabetic | insulin | glucose | gliclazide | pioglitazone | blood glucose | hypoglycemic | diabetes mellitus | mellitus | berberine,diabetes | pharmacokinetics | herb-drug interaction | metformin | berberine | diabetes mellitus | herb-drug interactions | pharmacodynamics | pharmacokinetic | gliclazide,Pharmacologically relevant drug interactions of sulfonylurea antidiabetics with common herbs,Effect of Cinnamomum cassia on the pharmacokinetics and pharmacodynamics of pioglitazone,Effect of aqueous extract of azadirachta indica leaves on pharmacokineics and pharmacodynamics of glipizide
6,220,warfarin | patients warfarin | anticoagulants | interactions warfarin | s-warfarin | anticoagulant | aspirin | oral anticoagulants | anticoagulation | clopidogrel | antiplatelet | warfarin rats | pharmacokinetic | pharmacokinetics | prothrombin time,warfarin | clopidogrel | inr | anticoagulant | aspirin | anticoagulation | platelet | bleeding | antiplatelet | international normalized | prothrombin | ratio inr | interactions warfarin | rats | prothrombin time,warfarin | pharmacokinetics | clopidogrel | herb-drug interactions | herb-drug interaction | aspirin | anticoagulants | pharmacodynamics | bleeding | drug interactions,Medication with caution: Analysis of adverse reactions caused by a combination of Chinese medicine and warfari,Warfarin and royal jelly interaction,"Warfarin-chlorophyll products, herb-drug interactions"
26,204,herb-drug interactions | drug interactions | anticancer drugs | herb-drug | interactions anticancer | alternative medicine | cancer treatment | cam use | anticancer | cancer patients | chemotherapy | patients cancer | used cancer | supplements | cancer,cancer | cancer patients | cam | oncology | chemotherapy | cam use | patients cancer | complementary | breast | herb-drug | anticancer drugs | breast cancer | anticancer | supplements | complementary alternative,cancer | herb-drug interactions | chemotherapy | interactions | complementary and alternative medicine | herb-drug interaction | herbal medicine | drug interactions | complementary medicine | breast cancer,Use of complementary and alternative medicine by patients attending a head and neck oncology clinic,An integrative approach to addressing clinical issues in complementary and alternative medicine in an outpatie,The use of dietary supplements in a community hospital comprehensive cancer center: implications for conventio
27,192,metabolites | pharmacokinetic | pharmacokinetics | prototypes metabolites | oral administration | analytes | bioactive | tcm | liquid chromatography | spectrometry | glucuronidation | urine | mass spectrometry | intestinal | plasma,rats | metabolites | plasma | pharmacokinetic | rat | rat plasma | absorption | spectrometry | mass spectrometry | pharmacokinetics | prototypes | prototypes metabolites | oral administration | chromatography | liquid chromatography,pharmacokinetics | traditional chinese medicine | pharmacokinetic | uplc-ms/ms | metabolites | metabolism | chemical constituents | metabolic profiles | microdialysis | lc–ms/ms,Quantification of nine bufadienolides of Shexiang Tongxin Dropping Pills in rat plasma and tissues using UPLC-,Influence of traditional Chinese medicines on the in vivo metabolism of lopinavir/ritonavir based on UHPLC-MS/,Simultaneous determination of multiple components in rat plasma by UPLC-MS/MS for pharmacokinetic studies afte
