cluster_id,early_pct,middle_pct,recent_pct,delta_recent_minus_early,fold_change,short_label
27,0.083,0.15,6.804,6.721,73.27,"T27: metabolites, pharmacokinetic, pharmacokinetics"
25,0.0,0.95,4.958,4.958,496.8,"T25: phytochemistry pharmacology, pharmacological activities, phytochemical"
22,0.0,0.1,4.415,4.415,442.5,"T22: network pharmacology, pharmacology molecular, pharmacology"
20,0.0,0.4,4.271,4.271,428.1,"T20: cancer, network pharmacology, pathways"
0,0.33,1.749,3.33,3.0,9.82,"T0: biosynthesis, biosynthetic pathway, biosynthetic"
19,0.165,0.1,2.642,2.477,15.15,"T19: pharmacology, network pharmacology, docking"
15,0.165,0.15,2.533,2.368,14.53,"T15: gut microbiome, gut microbiota, microbiome"
4,1.98,1.549,4.235,2.255,2.13,"T4: neuroprotective, pharmacology, neuroprotective effects"
16,0.0,0.15,1.991,1.991,200.1,"T16: disease nafld, treatment nafld, nafld"
2,2.31,4.048,4.271,1.961,1.85,"T2: antidiabetic, herb-drug, hypoglycemic"
21,0.165,0.15,1.954,1.789,11.22,"T21: arthritis, pharmacology, network pharmacology"
13,0.578,1.449,2.208,1.63,3.77,"T13: drug delivery, bioavailability, nanocarriers"
12,1.32,0.85,2.389,1.069,1.8,"T12: ckd, chronic kidney, kidney injury"
8,0.413,1.199,1.05,0.637,2.51,"T8: atorvastatin, simvastatin, losartan"
17,5.363,5.147,5.899,0.536,1.1,"T17: hepatoprotective, hepatotoxicity, liver injury"
10,1.238,0.95,1.737,0.499,1.4,"T10: hormone, testosterone, estrogenic"
18,0.66,0.75,1.122,0.462,1.69,"T18: network pharmacology, inflammatory, pharmacology"
32,0.66,1.849,1.05,0.39,1.58,"T32: drug transporters, transporter-mediated, anion transporters"
1,0.66,0.75,1.013,0.353,1.53,"T1: tacrolimus, cyclosporine, immunosuppressant"
29,1.238,1.099,0.869,-0.369,0.7,"T29: adverse drug, pharmacovigilance, drug interactions"
33,1.98,1.799,1.556,-0.424,0.79,"T33: herb-drug interactions, herb-drug, pharmacokinetic interactions"
24,1.733,4.898,1.158,-0.575,0.67,"T24: inhibition ugt, inhibited ugt, ugt isoforms"
26,4.043,2.999,3.438,-0.605,0.85,"T26: herb-drug interactions, drug interactions, anticancer drugs"
23,2.063,1.749,1.448,-0.615,0.7,"T23: antimicrobial, antibiotics, antibacterial"
36,1.815,0.85,0.76,-1.055,0.42,"T36: phytopharmaceutical, herb-drug, ayurveda"
35,2.063,3.998,0.796,-1.267,0.39,"T35: pharmacokinetic parameters, pharmacokinetic, oral administration"
9,1.815,1.349,0.507,-1.308,0.28,"T9: pxr cyp, pxr-mediated, receptor pxr"
7,2.063,0.6,0.688,-1.375,0.34,"T7: pregnant women, adverse events, premenstrual"
11,11.881,15.092,10.279,-1.602,0.87,"T11: anticancer, chemotherapy, cancer"
28,4.043,2.199,1.665,-2.378,0.41,"T28: medicinal plants, anxiolytic, antiepileptic drugs"
14,5.611,4.898,3.221,-2.39,0.57,"T14: cardiovascular diseases, treatment cardiovascular, herb-drug"
34,4.125,8.146,1.701,-2.424,0.41,"T34: metabolites, oral administration, pharmacokinetic"
31,3.383,2.199,0.941,-2.442,0.28,"T31: drug interactions, herb-drug interactions, drug interaction"
3,3.218,2.599,0.615,-2.603,0.19,"T3: drug interactions, antiretroviral drugs, antiretroviral"
30,8.086,13.343,5.32,-2.766,0.66,"T30: cyp inhibition, cyp enzymes, cyp isoforms"
6,6.188,3.498,2.714,-3.474,0.44,"T6: warfarin, patients warfarin, anticoagulants"
38,6.601,3.498,3.113,-3.488,0.47,"T38: pharmacies, use herbal, medications"
5,4.95,0.8,0.507,-4.443,0.1,"T5: antidepressants, antidepressant, wort sjw"
37,7.013,1.949,0.832,-6.181,0.12,"T37: herbal supplements, herbal products, herbal drugs"
