cluster_id,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
0,1,0,0,1,0,0,2,2,6,6,3,4,4,10,11,13,15,15,7,18,13
1,1,3,0,0,1,2,1,2,4,2,2,1,2,2,5,6,5,7,1,3,1
2,2,4,3,4,6,5,4,4,7,15,15,11,13,16,21,12,14,15,13,16,27
3,10,9,3,7,0,2,8,9,9,7,6,8,9,4,2,3,0,3,2,1,6
4,0,5,6,3,6,3,1,5,4,3,4,5,2,8,6,22,15,10,12,23,29
5,6,22,10,7,11,2,2,3,3,3,1,2,4,0,2,2,0,1,2,3,4
6,14,10,9,15,3,11,13,11,7,9,7,8,15,13,12,13,17,7,6,10,10
7,3,5,1,5,7,3,1,1,2,2,2,1,3,1,4,2,4,3,2,1,3
8,1,0,0,2,0,0,2,3,2,2,2,6,4,5,8,5,2,7,3,2,2
9,2,3,0,4,3,3,7,3,5,5,4,4,3,3,4,2,2,1,4,1,0
10,1,4,3,0,3,1,3,3,1,5,1,4,2,3,3,4,10,7,6,10,8
11,18,13,18,19,22,28,26,37,55,39,36,44,46,45,44,40,38,19,26,43,74
12,3,4,1,1,4,1,2,2,2,4,1,2,1,5,8,7,7,7,8,14,15
13,2,0,1,2,1,1,0,5,8,2,4,3,6,1,6,6,10,6,5,10,18
14,8,8,24,7,10,10,1,14,8,15,23,16,14,8,16,14,12,10,9,15,13
15,0,0,0,0,1,0,1,1,1,0,0,1,0,0,4,6,11,6,8,14,21
16,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,7,5,10,10,13,8
17,9,5,15,3,9,12,12,15,8,16,14,16,12,22,29,17,21,32,17,21,26
18,0,0,4,1,1,1,1,1,5,0,1,3,2,3,5,5,7,3,0,4,7
19,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,8,16,14,10,10,15
20,0,0,0,0,0,0,0,0,0,2,0,2,3,1,6,14,21,16,20,25,16
21,0,0,0,0,1,0,1,0,1,0,0,0,2,0,4,3,6,7,12,9,13
22,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,13,16,19,19,26,24
23,3,3,2,2,5,4,6,9,6,3,3,6,2,6,4,5,7,4,4,7,9
24,1,2,0,1,5,3,9,14,10,19,11,26,13,5,7,3,6,3,2,6,5
25,0,0,0,0,0,0,0,2,2,1,3,1,3,7,2,19,19,26,23,26,22
26,5,7,7,8,4,10,8,3,7,14,6,12,9,9,12,11,11,18,17,11,15
27,0,0,1,0,0,0,0,0,0,0,1,1,1,0,3,33,36,40,27,22,27
28,7,6,6,7,8,10,5,9,8,5,3,6,8,5,2,7,13,6,7,5,6
29,1,0,4,6,1,1,2,5,3,4,2,0,4,4,1,0,4,4,4,4,7
30,3,11,5,16,12,20,31,41,26,64,42,36,29,29,29,26,30,20,19,7,16
31,8,6,7,7,5,4,4,5,6,7,9,6,3,8,3,3,5,3,2,6,4
32,0,0,0,1,0,3,4,3,5,8,6,4,5,6,9,3,2,3,3,6,3
33,3,0,3,4,3,6,5,5,6,6,5,4,5,5,5,7,7,7,7,7,3
34,0,5,9,5,5,10,16,15,22,14,32,22,28,30,32,5,1,2,1,1,5
35,4,4,2,6,1,0,8,10,6,12,14,8,15,15,7,5,3,3,0,1,3
36,2,3,6,2,5,3,1,2,4,2,3,2,2,2,4,3,3,2,2,2,5
37,16,12,11,9,11,12,14,2,11,4,3,7,6,6,4,3,6,2,4,0,4
38,9,13,11,10,12,12,13,9,14,13,10,9,9,6,6,8,18,18,8,10,18
