cluster_id,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
0,0.76,0.0,0.0,0.76,0.0,0.0,1.53,1.53,4.58,4.58,2.29,3.05,3.05,7.63,8.4,9.92,11.45,11.45,5.34,13.74,9.92
1,1.96,5.88,0.0,0.0,1.96,3.92,1.96,3.92,7.84,3.92,3.92,1.96,3.92,3.92,9.8,11.76,9.8,13.73,1.96,5.88,1.96
2,0.88,1.76,1.32,1.76,2.64,2.2,1.76,1.76,3.08,6.61,6.61,4.85,5.73,7.05,9.25,5.29,6.17,6.61,5.73,7.05,11.89
3,9.26,8.33,2.78,6.48,0.0,1.85,7.41,8.33,8.33,6.48,5.56,7.41,8.33,3.7,1.85,2.78,0.0,2.78,1.85,0.93,5.56
4,0.0,2.91,3.49,1.74,3.49,1.74,0.58,2.91,2.33,1.74,2.33,2.91,1.16,4.65,3.49,12.79,8.72,5.81,6.98,13.37,16.86
5,6.67,24.44,11.11,7.78,12.22,2.22,2.22,3.33,3.33,3.33,1.11,2.22,4.44,0.0,2.22,2.22,0.0,1.11,2.22,3.33,4.44
6,6.36,4.55,4.09,6.82,1.36,5.0,5.91,5.0,3.18,4.09,3.18,3.64,6.82,5.91,5.45,5.91,7.73,3.18,2.73,4.55,4.55
7,5.36,8.93,1.79,8.93,12.5,5.36,1.79,1.79,3.57,3.57,3.57,1.79,5.36,1.79,7.14,3.57,7.14,5.36,3.57,1.79,5.36
8,1.72,0.0,0.0,3.45,0.0,0.0,3.45,5.17,3.45,3.45,3.45,10.34,6.9,8.62,13.79,8.62,3.45,12.07,5.17,3.45,3.45
9,3.17,4.76,0.0,6.35,4.76,4.76,11.11,4.76,7.94,7.94,6.35,6.35,4.76,4.76,6.35,3.17,3.17,1.59,6.35,1.59,0.0
10,1.22,4.88,3.66,0.0,3.66,1.22,3.66,3.66,1.22,6.1,1.22,4.88,2.44,3.66,3.66,4.88,12.2,8.54,7.32,12.2,9.76
11,2.47,1.78,2.47,2.6,3.01,3.84,3.56,5.07,7.53,5.34,4.93,6.03,6.3,6.16,6.03,5.48,5.21,2.6,3.56,5.89,10.14
12,3.03,4.04,1.01,1.01,4.04,1.01,2.02,2.02,2.02,4.04,1.01,2.02,1.01,5.05,8.08,7.07,7.07,7.07,8.08,14.14,15.15
13,2.06,0.0,1.03,2.06,1.03,1.03,0.0,5.15,8.25,2.06,4.12,3.09,6.19,1.03,6.19,6.19,10.31,6.19,5.15,10.31,18.56
14,3.14,3.14,9.41,2.75,3.92,3.92,0.39,5.49,3.14,5.88,9.02,6.27,5.49,3.14,6.27,5.49,4.71,3.92,3.53,5.88,5.1
15,0.0,0.0,0.0,0.0,1.33,0.0,1.33,1.33,1.33,0.0,0.0,1.33,0.0,0.0,5.33,8.0,14.67,8.0,10.67,18.67,28.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.0,3.45,0.0,3.45,12.07,8.62,17.24,17.24,22.41,13.79
17,2.72,1.51,4.53,0.91,2.72,3.63,3.63,4.53,2.42,4.83,4.23,4.83,3.63,6.65,8.76,5.14,6.34,9.67,5.14,6.34,7.85
18,0.0,0.0,7.41,1.85,1.85,1.85,1.85,1.85,9.26,0.0,1.85,5.56,3.7,5.56,9.26,9.26,12.96,5.56,0.0,7.41,12.96
19,0.0,0.0,0.0,1.3,0.0,0.0,1.3,1.3,0.0,0.0,0.0,1.3,0.0,0.0,0.0,10.39,20.78,18.18,12.99,12.99,19.48
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59,0.0,1.59,2.38,0.79,4.76,11.11,16.67,12.7,15.87,19.84,12.7
21,0.0,0.0,0.0,0.0,1.69,0.0,1.69,0.0,1.69,0.0,0.0,0.0,3.39,0.0,6.78,5.08,10.17,11.86,20.34,15.25,22.03
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.81,4.03,10.48,12.9,15.32,15.32,20.97,19.35
23,3.0,3.0,2.0,2.0,5.0,4.0,6.0,9.0,6.0,3.0,3.0,6.0,2.0,6.0,4.0,5.0,7.0,4.0,4.0,7.0,9.0
24,0.66,1.32,0.0,0.66,3.31,1.99,5.96,9.27,6.62,12.58,7.28,17.22,8.61,3.31,4.64,1.99,3.97,1.99,1.32,3.97,3.31
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,0.64,1.92,0.64,1.92,4.49,1.28,12.18,12.18,16.67,14.74,16.67,14.1
26,2.45,3.43,3.43,3.92,1.96,4.9,3.92,1.47,3.43,6.86,2.94,5.88,4.41,4.41,5.88,5.39,5.39,8.82,8.33,5.39,7.35
27,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.52,0.52,0.0,1.56,17.19,18.75,20.83,14.06,11.46,14.06
28,5.04,4.32,4.32,5.04,5.76,7.19,3.6,6.47,5.76,3.6,2.16,4.32,5.76,3.6,1.44,5.04,9.35,4.32,5.04,3.6,4.32
29,1.64,0.0,6.56,9.84,1.64,1.64,3.28,8.2,4.92,6.56,3.28,0.0,6.56,6.56,1.64,0.0,6.56,6.56,6.56,6.56,11.48
30,0.59,2.15,0.98,3.12,2.34,3.91,6.05,8.01,5.08,12.5,8.2,7.03,5.66,5.66,5.66,5.08,5.86,3.91,3.71,1.37,3.12
31,7.21,5.41,6.31,6.31,4.5,3.6,3.6,4.5,5.41,6.31,8.11,5.41,2.7,7.21,2.7,2.7,4.5,2.7,1.8,5.41,3.6
32,0.0,0.0,0.0,1.35,0.0,4.05,5.41,4.05,6.76,10.81,8.11,5.41,6.76,8.11,12.16,4.05,2.7,4.05,4.05,8.11,4.05
33,2.91,0.0,2.91,3.88,2.91,5.83,4.85,4.85,5.83,5.83,4.85,3.88,4.85,4.85,4.85,6.8,6.8,6.8,6.8,6.8,2.91
34,0.0,1.92,3.46,1.92,1.92,3.85,6.15,5.77,8.46,5.38,12.31,8.46,10.77,11.54,12.31,1.92,0.38,0.77,0.38,0.38,1.92
35,3.15,3.15,1.57,4.72,0.79,0.0,6.3,7.87,4.72,9.45,11.02,6.3,11.81,11.81,5.51,3.94,2.36,2.36,0.0,0.79,2.36
36,3.33,5.0,10.0,3.33,8.33,5.0,1.67,3.33,6.67,3.33,5.0,3.33,3.33,3.33,6.67,5.0,5.0,3.33,3.33,3.33,8.33
37,10.88,8.16,7.48,6.12,7.48,8.16,9.52,1.36,7.48,2.72,2.04,4.76,4.08,4.08,2.72,2.04,4.08,1.36,2.72,0.0,2.72
38,3.81,5.51,4.66,4.24,5.08,5.08,5.51,3.81,5.93,5.51,4.24,3.81,3.81,2.54,2.54,3.39,7.63,7.63,3.39,4.24,7.63
