id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>
1	Chinese Mainland	0.7306	0.2248	4	34	942	4313	111684
2	United States	-0.061	-0.469	3	40	657	1094	47388
3	India	-0.4867	0.3098	2	19	126	534	15472
4	Hong Kong (China)	0.7512	-0.1387	4	8	222	256	11530
5	South Korea	0.0208	0.8772	6	7	56	253	6184
6	United Kingdom	-0.0639	-0.0785	1	31	240	237	12890
7	Japan	-0.1836	0.7411	2	10	96	228	5267
8	Taiwan (China)	0.1434	0.9324	6	6	116	208	6431
9	Australia	0.4448	-0.1719	5	12	153	187	8379
10	Germany	-0.0884	-0.196	1	21	120	182	10775
11	Canada	0.3016	-0.3979	5	8	82	141	6879
12	Saudi Arabia	-0.425	0.4418	2	15	116	139	4180
13	Macao (China)	1.1748	-0.0218	4	5	132	117	4898
14	Italy	-0.3085	0.0129	1	17	97	106	9210
15	South Africa	-0.0498	-0.806	3	7	45	97	3680
16	Iran	-0.4496	0.0921	1	5	25	94	4410
17	Malaysia	-0.2986	0.7238	2	8	40	94	2632
18	Nigeria	0.1874	-0.2429	1	4	18	94	1611
19	Thailand	-0.2345	0.6919	2	6	28	90	1868
20	Brazil	-0.1463	-0.2496	1	6	23	71	2268
21	Pakistan	-0.3756	0.5253	2	8	58	65	1411
22	Spain	-0.3247	-0.107	1	13	62	63	5127
23	Turkey	-0.3278	-0.0457	1	6	21	62	1629
24	Egypt	-0.4668	0.3958	2	8	45	61	2216
25	Singapore	0.6434	-0.3046	5	5	45	53	3159
26	France	1.8947	0.6147	4	1	3	53	2202
27	Switzerland	-0.0847	-0.2738	1	8	40	50	3432
28	Portugal	-0.347	0.0256	1	7	27	49	1470
29	Poland	-0.5109	0.2124	8	8	30	49	1302
30	Israel	0.0849	-0.6261	3	3	20	48	3301
31	Netherlands	-0.0277	-0.2059	1	4	14	40	1908
32	Indonesia	-0.2786	0.7906	2	2	8	39	414
33	Jordan	-0.3415	0.3099	2	6	26	37	530
34	Mexico	-1.2595	0.3281	7	3	11	36	1002
35	Serbia	-0.2389	0.0175	1	3	11	34	1162
36	Finland	0.209	-0.217	1	4	20	31	1211
37	Sweden	0.0477	-0.1698	1	7	30	30	1157
38	Austria	-0.061	-0.3165	1	4	14	29	1131
39	Mongolia	1.9268	0.5105	4	1	24	26	1098
40	Czech Republic	0.0494	-0.3112	1	4	13	25	1424
41	New Zealand	0.5975	-0.3498	5	5	28	24	758
42	UAE	-0.4205	0.4063	2	6	23	23	720
43	Norway	1.8544	0.7153	4	1	5	22	803
44	Iraq	-0.5187	0.4479	2	3	10	21	430
45	Ghana	-0.0559	-0.8281	3	3	15	21	574
46	Hungary	-0.1495	-1.297	3	1	3	20	1250
47	Vietnam	0.0694	0.9747	6	2	7	17	767
49	Russia	1.0727	-0.6775	3	2	14	17	701
50	Belgium	-0.3135	-0.1352	1	2	6	16	1210
51	Greece	-0.5363	0.2206	8	1	4	16	287
52	Lebanon	-0.3451	0.2956	2	2	7	15	573
55	Zimbabwe	-0.0546	-0.8923	3	2	11	13	276
56	Denmark	-0.2386	-1.2814	3	1	3	13	411
57	Ireland	-0.0582	-1.301	3	1	3	11	384
58	Cuba	-0.3618	-0.1278	1	1	6	11	233
59	Chile	-0.4376	0.0698	1	2	8	11	608
61	Argentina	-1.2736	0.3315	7	1	3	10	150
